scenario_id,company_id,occurrence_count,overlap_rank
16829,15016,1,2.0
16829,15160,1,3.0
16829,15228,1,4.0
16829,15362,1,5.0
16830,15609,1,1.0
16830,16032,1,2.0
16831,15609,1,1.0
16833,15049,1,1.0
16833,15083,1,2.0
16833,15122,1,3.0
16833,15899,1,4.0
16834,14836,1,1.0
16834,15144,1,2.0
16835,15871,2,1.0
16835,15035,1,2.0
16835,15150,1,3.0
16835,15325,1,4.0
16835,15684,1,5.0
16836,15133,1,1.0
16836,14847,1,2.0
16836,15836,1,3.0
16837,15030,1,1.0
16837,15062,1,2.0
16837,15345,1,3.0
16837,15575,1,4.0
16838,14844,1,1.0
16838,14899,1,2.0
16838,14920,1,3.0
16838,14927,1,4.0
16838,14947,1,5.0
16839,15384,1,1.0
16839,15975,1,2.0
16839,15198,1,3.0
16840,15630,3,1.0
16840,15665,1,2.0
16841,15023,1,1.0
16842,15288,3,1.0
16842,15797,2,2.0
16842,15531,1,3.0
16843,15030,1,1.0
16843,15062,1,2.0
16843,15345,1,3.0
16843,15575,1,4.0
16844,15146,1,1.0
16844,15425,1,2.0
16844,15428,1,3.0
16844,15997,1,4.0
16844,16020,1,5.0
16845,15622,1,1.0
16846,15447,1,1.0
16846,15572,1,2.0
16846,15574,1,3.0
16847,14956,1,1.0
16848,14876,1,1.0
16848,15332,1,2.0
16848,15605,1,3.0
16848,15664,1,4.0
16848,16024,1,5.0
16849,15200,1,1.0
16849,15925,1,2.0
16849,15944,1,3.0
16850,15666,3,1.0
16850,15391,1,2.0
16850,15942,1,3.0
16850,15071,1,4.0
16850,15344,1,5.0
16851,15767,1,1.0
16851,15846,1,2.0
16851,15862,1,3.0
16851,15921,1,4.0
16852,14869,1,1.0
16854,15562,1,1.0
16855,15562,2,1.0
16855,15995,1,2.0
16856,14900,1,1.0
16857,14925,2,1.0
16857,15901,1,2.0
16857,15207,1,3.0
16857,14970,1,4.0
16857,15106,1,5.0
16858,15391,2,1.0
16858,15024,1,2.0
16858,15185,1,3.0
16858,15226,1,4.0
16858,15809,1,5.0
16859,15691,1,1.0
16860,14990,1,1.0
16861,15840,3,1.0
16862,15970,1,1.0
16863,15328,2,1.0
16863,15819,1,2.0
16864,15837,2,1.0
16864,15229,2,2.0
16864,14926,1,3.0
16864,14953,1,4.0
16864,15095,1,5.0
16865,15121,2,1.0
16865,15696,2,2.0
16865,15986,2,3.0
16865,15176,1,4.0
16865,15204,1,5.0
16866,15414,1,1.0
16866,15431,1,2.0
16867,15240,2,1.0
16867,15367,2,2.0
16867,15840,1,3.0
16867,14910,1,4.0
16867,15462,1,5.0
16868,15156,1,1.0
16869,14949,2,1.0
16869,15006,1,2.0
16869,14968,1,3.0
16869,15496,1,4.0
16870,14893,1,1.0
16870,14909,1,2.0
16870,15047,1,3.0
16870,15053,1,4.0
16870,15093,1,5.0
16871,15465,1,1.0
16871,14940,1,2.0
16872,15200,1,1.0
16872,15925,1,2.0
16872,15944,1,3.0
16873,15200,1,1.0
16873,15925,1,2.0
16873,15944,1,3.0
16875,15027,1,1.0
16875,15907,1,2.0
16876,14936,1,1.0
16877,15996,1,1.0
16878,15922,1,1.0
16879,15668,1,1.0
16880,15485,2,1.0
16881,15587,1,1.0
16882,15340,1,1.0
16883,15055,1,1.0
16883,15573,1,2.0
16883,15924,1,3.0
16884,15670,2,1.0
16884,15173,1,2.0
16885,15592,3,1.0
16885,15521,1,2.0
16885,15459,1,3.0
16887,14873,1,1.0
16887,15004,1,2.0
16887,15414,1,3.0
16887,15772,1,4.0
16887,15803,1,5.0
16888,15538,1,1.0
16889,15726,2,1.0
16889,14893,1,2.0
16889,14909,1,3.0
16889,15047,1,4.0
16889,15053,1,5.0
16890,15647,2,1.0
16890,15812,2,2.0
16890,16010,2,3.0
16890,14916,1,4.0
16890,15005,1,5.0
16891,14843,1,1.0
16891,14864,1,2.0
16891,14881,1,3.0
16891,14904,1,4.0
16891,14969,1,5.0
16892,15203,3,1.0
16893,15057,1,1.0
16893,15606,1,2.0
16894,15311,1,1.0
16894,15732,1,2.0
16895,15613,1,1.0
16896,15071,1,1.0
16896,15344,1,2.0
16896,15467,1,3.0
16896,15666,1,4.0
16896,15695,1,5.0
16897,15541,3,1.0
16897,15952,2,2.0
16897,15832,1,3.0
16897,14886,1,4.0
16897,15684,1,5.0
16898,15049,1,1.0
16898,15083,1,2.0
16898,15122,1,3.0
16898,15899,1,4.0
16899,15767,1,1.0
16900,14862,1,1.0
16900,15069,1,2.0
16900,15138,1,3.0
16901,14983,1,1.0
16901,15160,1,2.0
16901,15991,1,3.0
16901,15138,1,4.0
16902,15421,3,1.0
16902,15194,1,2.0
16902,14858,1,3.0
16902,15417,1,4.0
16902,15423,1,5.0
16903,15256,1,1.0
16904,14912,1,1.0
16904,15606,1,2.0
16904,15972,1,3.0
16904,15262,1,4.0
16905,15558,1,1.0
16905,15711,1,2.0
16906,14873,1,1.0
16907,15997,2,1.0
16907,16020,2,2.0
16907,15188,2,3.0
16907,14873,1,4.0
16907,14921,1,5.0
16908,15054,1,1.0
16909,15497,1,1.0
16910,14916,1,1.0
16910,15072,1,2.0
16910,15752,1,3.0
16911,15577,1,1.0
16912,14916,2,1.0
16912,15005,1,2.0
16912,15072,1,3.0
16912,15190,1,4.0
16912,15515,1,5.0
16913,14916,2,1.0
16913,15072,2,2.0
16913,15752,2,3.0
16913,15812,2,4.0
16913,16010,2,5.0
16914,14916,1,1.0
16914,15072,1,2.0
16914,15752,1,3.0
16915,14916,2,1.0
16915,15812,2,2.0
16915,16010,2,3.0
16915,15005,1,4.0
16915,15072,1,5.0
16916,15134,1,1.0
16916,15246,1,2.0
16916,15641,1,3.0
16916,15795,1,4.0
16916,15729,1,5.0
16917,14957,2,1.0
16918,15298,2,1.0
16919,14837,1,1.0
16919,15143,1,2.0
16919,15199,1,3.0
16919,15735,1,4.0
16919,15806,1,5.0
16920,15750,1,1.0
16921,15006,2,1.0
16921,15380,1,2.0
16922,15955,1,1.0
16923,15119,1,1.0
16923,15295,1,2.0
16923,15955,1,3.0
16924,15198,2,1.0
16924,15987,1,2.0
16924,15952,1,3.0
16925,15369,1,1.0
16926,15939,1,1.0
16927,15270,1,1.0
16928,15116,1,1.0
16928,15283,1,2.0
16928,15407,1,3.0
16928,15481,1,4.0
16928,15514,1,5.0
16929,15622,1,1.0
16930,15024,1,1.0
16930,15185,1,2.0
16930,15226,1,3.0
16930,15391,1,4.0
16930,15809,1,5.0
16931,15230,2,1.0
16931,15092,1,2.0
16931,15219,1,3.0
16931,15284,1,4.0
16931,15393,1,5.0
16932,14854,1,1.0
16932,15183,1,2.0
16933,14921,1,1.0
16933,15146,1,2.0
16933,15649,1,3.0
16933,15704,1,4.0
16933,15997,1,5.0
16934,15146,2,1.0
16934,15425,1,2.0
16934,15428,1,3.0
16934,15997,1,4.0
16934,16020,1,5.0
16935,15269,1,1.0
16936,15659,1,1.0
16937,14843,1,1.0
16937,15016,1,2.0
16937,15121,1,3.0
16937,15362,1,4.0
16937,15410,1,5.0
16938,15890,2,1.0
16938,15009,2,2.0
16939,14907,1,1.0
16940,15678,1,1.0
16941,15092,1,1.0
16941,15219,1,2.0
16941,15230,1,3.0
16941,15284,1,4.0
16941,15393,1,5.0
16942,15691,1,1.0
16943,14942,1,1.0
16944,14942,1,1.0
16945,15609,1,1.0
16945,16032,1,2.0
16946,15513,2,1.0
16946,15369,1,2.0
16947,15776,1,1.0
16947,15102,1,2.0
16948,15693,1,1.0
16949,15067,1,1.0
16950,14992,1,1.0
16951,14878,1,1.0
16952,15391,1,1.0
16952,15676,1,2.0
16952,15698,1,3.0
16952,15799,1,4.0
16952,15838,1,5.0
16953,15325,1,1.0
16953,15399,1,2.0
16953,15789,1,3.0
16954,15281,2,1.0
16955,15238,1,1.0
16955,15860,1,2.0
16955,15116,1,3.0
16955,15283,1,4.0
16955,15407,1,5.0
16956,15688,1,1.0
16956,15570,1,2.0
16956,15608,1,3.0
16956,15849,1,4.0
16956,15979,1,5.0
16957,15836,2,1.0
16958,15157,1,1.0
16958,15673,1,2.0
16958,16021,1,3.0
16958,15009,1,4.0
16959,15133,1,1.0
16959,14898,1,2.0
16959,15498,1,3.0
16960,15091,1,1.0
16961,15670,1,1.0
16961,14869,1,2.0
16962,15411,4,1.0
16962,14880,1,2.0
16963,15620,1,1.0
16964,15739,2,1.0
16965,14868,2,1.0
16965,15272,2,2.0
16965,14935,1,3.0
16965,15234,1,4.0
16965,15420,1,5.0
16966,15979,2,1.0
16966,16013,1,2.0
16966,14940,1,3.0
16966,15810,1,4.0
16967,15772,2,1.0
16967,15004,1,2.0
16967,15414,1,3.0
16967,15803,1,4.0
16967,14862,1,5.0
16968,15023,3,1.0
16968,15028,1,2.0
16968,15380,1,3.0
16968,14988,1,4.0
16968,15157,1,5.0
16969,15328,2,1.0
16970,15238,2,1.0
16970,15116,1,2.0
16970,15283,1,3.0
16970,15407,1,4.0
16970,15481,1,5.0
16971,15104,3,1.0
16971,15021,1,2.0
16971,15350,1,3.0
16971,14840,1,4.0
16971,14951,1,5.0
16972,15083,1,1.0
16973,14963,1,1.0
16974,14963,1,1.0
16975,14950,2,1.0
16976,14946,2,1.0
16976,15115,1,2.0
16976,15060,1,3.0
16976,15232,1,4.0
16976,15814,1,5.0
16977,15520,2,1.0
16977,15783,2,2.0
16977,15055,1,3.0
16977,15573,1,4.0
16977,15924,1,5.0
16978,15691,1,1.0
16979,15071,1,1.0
16979,15344,1,2.0
16979,15467,1,3.0
16979,15666,1,4.0
16979,15695,1,5.0
16981,15179,1,1.0
16981,15054,1,2.0
16982,15217,1,1.0
16982,15773,1,2.0
16983,15217,1,1.0
16984,15089,1,1.0
16985,15474,1,1.0
16985,15535,1,2.0
16985,15677,1,3.0
16985,15754,1,4.0
16985,15825,1,5.0
16987,15159,1,1.0
16988,14893,1,1.0
16988,14909,1,2.0
16988,15047,1,3.0
16988,15053,1,4.0
16988,15093,1,5.0
16989,14893,1,1.0
16989,14909,1,2.0
16989,15047,1,3.0
16989,15053,1,4.0
16989,15093,1,5.0
16990,15444,1,1.0
16991,15122,1,1.0
16992,15049,1,1.0
16992,15083,1,2.0
16992,15122,1,3.0
16992,15899,1,4.0
16993,14893,2,1.0
16993,14909,2,2.0
16993,15047,2,3.0
16993,15053,2,4.0
16993,15093,2,5.0
16994,15116,1,1.0
16994,15283,1,2.0
16994,15407,1,3.0
16994,15481,1,4.0
16994,15514,1,5.0
16995,15186,2,1.0
16995,14893,1,2.0
16995,14909,1,3.0
16995,15047,1,4.0
16995,15053,1,5.0
16996,14893,1,1.0
16996,14909,1,2.0
16996,15047,1,3.0
16996,15053,1,4.0
16996,15093,1,5.0
16997,15744,1,1.0
16998,15290,2,1.0
16999,16035,1,1.0
17000,15467,1,1.0
17000,15568,1,2.0
17001,14843,1,1.0
17001,14864,1,2.0
17001,14881,1,3.0
17001,14904,1,4.0
17001,14969,1,5.0
17002,15078,1,1.0
17003,14946,1,1.0
17003,15060,1,2.0
17003,15232,1,3.0
17003,15814,1,4.0
17003,14866,1,5.0
17004,14837,1,1.0
17004,15143,1,2.0
17004,15199,1,3.0
17004,15735,1,4.0
17004,15806,1,5.0
17005,14912,2,1.0
17005,15645,2,2.0
17005,15606,1,3.0
17005,15258,1,4.0
17005,14901,1,5.0
17006,15713,2,1.0
17006,15546,1,2.0
17006,15193,1,3.0
17006,15035,1,4.0
17006,15150,1,5.0
17007,15793,2,1.0
17007,15121,1,2.0
17007,15176,1,3.0
17007,15204,1,4.0
17007,15307,1,5.0
17008,14860,1,1.0
17008,14902,1,2.0
17008,15008,1,3.0
17008,15137,1,4.0
17008,15300,1,5.0
17009,15676,1,1.0
17010,15836,1,1.0
17012,15010,1,1.0
17013,15442,1,1.0
17014,15016,1,1.0
17014,15160,1,2.0
17014,15228,1,3.0
17014,15362,1,4.0
17014,15410,1,5.0
17015,15016,1,1.0
17015,15160,1,2.0
17015,15228,1,3.0
17015,15362,1,4.0
17015,15410,1,5.0
17016,15393,1,1.0
17017,14893,1,1.0
17017,14909,1,2.0
17017,15047,1,3.0
17017,15053,1,4.0
17017,15093,1,5.0
17018,15671,2,1.0
17018,15114,1,2.0
17018,15867,1,3.0
17018,15313,1,4.0
17019,15875,3,1.0
17019,15398,1,2.0
17020,15536,2,1.0
17020,14990,1,2.0
17021,14843,1,1.0
17021,14864,1,2.0
17021,14881,1,3.0
17021,14904,1,4.0
17021,14969,1,5.0
17022,14862,1,1.0
17022,15069,1,2.0
17022,15138,1,3.0
17023,15393,1,1.0
17024,14993,1,1.0
17024,15328,1,2.0
17024,15707,1,3.0
17025,15068,2,1.0
17025,15260,1,2.0
17025,15315,1,3.0
17026,15016,1,1.0
17026,15160,1,2.0
17026,15228,1,3.0
17026,15362,1,4.0
17026,15410,1,5.0
17027,15309,2,1.0
17028,15256,1,1.0
17029,15997,2,1.0
17029,16020,2,2.0
17029,14921,1,3.0
17029,15146,1,4.0
17029,15649,1,5.0
17030,15016,1,1.0
17030,15160,1,2.0
17030,15228,1,3.0
17030,15362,1,4.0
17030,15410,1,5.0
17031,15422,2,1.0
17031,15410,2,2.0
17031,14843,1,3.0
17031,15016,1,4.0
17031,15121,1,5.0
17032,14905,2,1.0
17033,15321,1,1.0
17034,15407,1,1.0
17034,15661,1,2.0
17034,15763,1,3.0
17035,15489,1,1.0
17035,15998,1,2.0
17036,14873,1,1.0
17036,15489,1,2.0
17037,15660,1,1.0
17038,15997,3,1.0
17038,16020,3,2.0
17038,15146,2,3.0
17038,14921,1,4.0
17038,15649,1,5.0
17039,15049,1,1.0
17039,15083,1,2.0
17039,15122,1,3.0
17039,15899,1,4.0
17040,15704,2,1.0
17040,14921,1,2.0
17040,15146,1,3.0
17040,15649,1,4.0
17040,15997,1,5.0
17041,15971,1,1.0
17042,15997,2,1.0
17042,16020,2,2.0
17042,15146,1,3.0
17042,15425,1,4.0
17042,15428,1,5.0
17043,14887,1,1.0
17043,14862,1,2.0
17043,15069,1,3.0
17043,15138,1,4.0
17045,15250,2,1.0
17045,15323,1,2.0
17045,15730,1,3.0
17045,15239,1,4.0
17046,14836,1,1.0
17046,15144,1,2.0
17047,15369,1,1.0
17048,15586,2,1.0
17048,15614,1,2.0
17049,15320,1,1.0
17050,15197,3,1.0
17050,15491,2,2.0
17050,15318,1,3.0
17051,15064,1,1.0
17052,16030,2,1.0
17052,15258,2,2.0
17052,14876,1,3.0
17052,15332,1,4.0
17052,15605,1,5.0
17053,15979,1,1.0
17055,15146,1,1.0
17055,15704,1,2.0
17056,15404,1,1.0
17057,15404,1,1.0
17058,15092,1,1.0
17058,15219,1,2.0
17058,15230,1,3.0
17058,15284,1,4.0
17058,15393,1,5.0
17059,15172,1,1.0
17060,14845,1,1.0
17061,15452,1,1.0
17062,15106,1,1.0
17062,15588,1,2.0
17063,15407,1,1.0
17063,15661,1,2.0
17063,15763,1,3.0
17064,15261,1,1.0
17064,15374,1,2.0
17064,15559,1,3.0
17064,15716,1,4.0
17064,15851,1,5.0
17065,15119,1,1.0
17065,15295,1,2.0
17065,15955,1,3.0
17066,15886,1,1.0
17067,15500,1,1.0
17068,16024,2,1.0
17068,15605,1,2.0
17069,15242,1,1.0
17070,15116,1,1.0
17070,15283,1,2.0
17070,15407,1,3.0
17070,15481,1,4.0
17070,15514,1,5.0
17071,15341,2,1.0
17072,15485,2,1.0
17072,15028,1,2.0
17073,14863,1,1.0
17073,15043,1,2.0
17073,15364,1,3.0
17073,15379,1,4.0
17073,14844,1,5.0
17074,15596,1,1.0
17075,15596,1,1.0
17076,14837,1,1.0
17076,15143,1,2.0
17076,15199,1,3.0
17076,15735,1,4.0
17076,15806,1,5.0
17077,15547,2,1.0
17077,15685,1,2.0
17077,15951,1,3.0
17077,15129,1,4.0
17077,14844,1,5.0
17078,15505,1,1.0
17079,14987,2,1.0
17079,15017,1,2.0
17079,15101,1,3.0
17079,15132,1,4.0
17079,15793,1,5.0
17080,14987,1,1.0
17081,15489,1,1.0
17082,14890,1,1.0
17083,14893,1,1.0
17083,14909,1,2.0
17083,15047,1,3.0
17083,15053,1,4.0
17083,15093,1,5.0
17084,15643,2,1.0
17084,15244,1,2.0
17084,15667,1,3.0
17084,15803,1,4.0
17084,16003,1,5.0
17085,15018,1,1.0
17086,16032,2,1.0
17086,15609,1,2.0
17087,14887,1,1.0
17088,14851,1,1.0
17088,14852,1,2.0
17088,14885,1,3.0
17088,15349,1,4.0
17088,15423,1,5.0
17089,15391,1,1.0
17089,15676,1,2.0
17089,15698,1,3.0
17089,15799,1,4.0
17089,15838,1,5.0
17090,15452,1,1.0
17091,15198,1,1.0
17091,15987,1,2.0
17091,15452,1,3.0
17092,15578,1,1.0
17093,15797,1,1.0
17094,15140,1,1.0
17094,16014,1,2.0
17095,15728,1,1.0
17096,15728,1,1.0
17097,15728,1,1.0
17098,15728,1,1.0
17099,15149,3,1.0
17099,15122,1,2.0
17099,15561,1,3.0
17099,15656,1,4.0
17099,15955,1,5.0
17100,15003,3,1.0
17100,15718,2,2.0
17100,15184,2,3.0
17100,14984,1,4.0
17100,15125,1,5.0
17101,15428,1,1.0
17101,15847,1,2.0
17101,15119,1,3.0
17101,15295,1,4.0
17101,15955,1,5.0
17102,14890,1,1.0
17102,15092,1,2.0
17102,15219,1,3.0
17102,15306,1,4.0
17102,15323,1,5.0
17103,15101,1,1.0
17104,14987,1,1.0
17104,15017,1,2.0
17104,15101,1,3.0
17104,15132,1,4.0
17104,15793,1,5.0
17105,15636,1,1.0
17106,15016,1,1.0
17106,15160,1,2.0
17106,15228,1,3.0
17106,15362,1,4.0
17106,15410,1,5.0
17107,15016,1,1.0
17107,15160,1,2.0
17107,15228,1,3.0
17107,15362,1,4.0
17107,15410,1,5.0
17108,15838,1,1.0
17108,14976,1,2.0
17108,15672,1,3.0
17108,15719,1,4.0
17108,15943,1,5.0
17109,15879,1,1.0
17110,15016,1,1.0
17110,15160,1,2.0
17110,15228,1,3.0
17110,15362,1,4.0
17110,15410,1,5.0
17111,14918,1,1.0
17111,15007,1,2.0
17111,15039,1,3.0
17111,15319,1,4.0
17112,15535,2,1.0
17112,16013,1,2.0
17112,15474,1,3.0
17112,15677,1,4.0
17112,15754,1,5.0
17113,15176,3,1.0
17113,15121,1,2.0
17113,15204,1,3.0
17113,15307,1,4.0
17113,15696,1,5.0
17114,15030,1,1.0
17114,15062,1,2.0
17114,15345,1,3.0
17114,15575,1,4.0
17115,15856,1,1.0
17116,15076,2,1.0
17116,15445,1,2.0
17117,14968,1,1.0
17117,15968,1,2.0
17117,14844,1,3.0
17117,14899,1,4.0
17117,14920,1,5.0
17118,15133,2,1.0
17119,15244,1,1.0
17119,15667,1,2.0
17119,15803,1,3.0
17119,16003,1,4.0
17120,15505,1,1.0
17122,15557,1,1.0
17122,15615,1,2.0
17123,15281,2,1.0
17124,15943,1,1.0
17124,14890,1,2.0
17124,15092,1,3.0
17124,15219,1,4.0
17124,15306,1,5.0
17125,15596,1,1.0
17126,14965,1,1.0
17127,15485,2,1.0
17128,14855,2,1.0
17129,15575,2,1.0
17129,15311,1,2.0
17129,15030,1,3.0
17129,15062,1,4.0
17129,15345,1,5.0
17130,15417,2,1.0
17131,14966,1,1.0
17132,14966,1,1.0
17133,14966,1,1.0
17134,15231,1,1.0
17135,15049,1,1.0
17135,15083,1,2.0
17135,15122,1,3.0
17135,15899,1,4.0
17136,14844,1,1.0
17136,15084,1,2.0
17136,15165,1,3.0
17136,15503,1,4.0
17136,15543,1,5.0
17137,15428,1,1.0
17137,15847,1,2.0
17137,15395,1,3.0
17138,15559,3,1.0
17138,14926,1,2.0
17138,14953,1,3.0
17138,15095,1,4.0
17138,15104,1,5.0
17139,15931,2,1.0
17139,15626,1,2.0
17140,15685,3,1.0
17140,15951,1,2.0
17142,15146,1,1.0
17142,15704,1,2.0
17143,15995,1,1.0
17144,14893,1,1.0
17144,14909,1,2.0
17144,15047,1,3.0
17144,15053,1,4.0
17144,15093,1,5.0
17145,14893,1,1.0
17145,14909,1,2.0
17145,15047,1,3.0
17145,15053,1,4.0
17145,15093,1,5.0
17146,15767,1,1.0
17146,15846,1,2.0
17146,15862,1,3.0
17146,15921,1,4.0
17147,15494,2,1.0
17147,14836,1,2.0
17147,15985,1,3.0
17147,15509,1,4.0
17147,15551,1,5.0
17148,15422,2,1.0
17148,15410,1,2.0
17149,15836,1,1.0
17150,14992,3,1.0
17151,15907,2,1.0
17151,15027,1,2.0
17152,15701,1,1.0
17153,14890,1,1.0
17153,15092,1,2.0
17153,15219,1,3.0
17153,15306,1,4.0
17153,15323,1,5.0
17154,14967,1,1.0
17154,15143,1,2.0
17154,15294,1,3.0
17154,14886,1,4.0
17154,15541,1,5.0
17155,15035,1,1.0
17155,15150,1,2.0
17155,15325,1,3.0
17155,15684,1,4.0
17155,15766,1,5.0
17156,15505,1,1.0
17157,15315,2,1.0
17157,15068,1,2.0
17157,14839,1,3.0
17157,15064,1,4.0
17157,15639,1,5.0
17158,15522,1,1.0
17158,15075,1,2.0
17159,14937,1,1.0
17160,14937,1,1.0
17161,15691,1,1.0
17162,15009,1,1.0
17163,15293,1,1.0
17164,14944,1,1.0
17165,14844,1,1.0
17165,14899,1,2.0
17165,14920,1,3.0
17165,14927,1,4.0
17165,14947,1,5.0
17166,15289,1,1.0
17167,15241,2,1.0
17168,15402,1,1.0
17169,15074,1,1.0
17169,14999,1,2.0
17169,15155,1,3.0
17169,15416,1,4.0
17169,15574,1,5.0
17170,15605,2,1.0
17170,14876,1,2.0
17170,15332,1,3.0
17170,15664,1,4.0
17170,16024,1,5.0
17171,14862,1,1.0
17171,15069,1,2.0
17172,15767,2,1.0
17172,15846,1,2.0
17172,15862,1,3.0
17172,15921,1,4.0
17173,15003,2,1.0
17173,14982,1,2.0
17173,14980,1,3.0
17173,15154,1,4.0
17173,15803,1,5.0
17174,15702,1,1.0
17174,15959,1,2.0
17175,15290,1,1.0
17176,14907,1,1.0
17177,15314,1,1.0
17178,16030,2,1.0
17178,16033,2,2.0
17178,14868,1,3.0
17178,14935,1,4.0
17178,15234,1,5.0
17179,16030,1,1.0
17180,15620,1,1.0
17181,15565,1,1.0
17181,15709,1,2.0
17182,15102,1,1.0
17183,14954,1,1.0
17183,15144,1,2.0
17183,15890,1,3.0
17183,15369,1,4.0
17183,14844,1,5.0
17184,15750,1,1.0
17185,15542,2,1.0
17185,14843,1,2.0
17185,14864,1,3.0
17185,14881,1,4.0
17185,14904,1,5.0
17186,15833,1,1.0
17187,15032,1,1.0
17188,15870,1,1.0
17189,15795,2,1.0
17189,15246,1,2.0
17189,15641,1,3.0
17190,15121,1,1.0
17190,15176,1,2.0
17190,15204,1,3.0
17190,15307,1,4.0
17190,15696,1,5.0
17191,14995,1,1.0
17191,15956,1,2.0
17191,15035,1,3.0
17191,15150,1,4.0
17191,15325,1,5.0
17192,15693,2,1.0
17192,14993,1,2.0
17193,15620,1,1.0
17194,14946,1,1.0
17194,15060,1,2.0
17194,15232,1,3.0
17194,15814,1,4.0
17195,15789,1,1.0
17196,14844,1,1.0
17196,14899,1,2.0
17196,14920,1,3.0
17196,14927,1,4.0
17196,14947,1,5.0
17197,15121,1,1.0
17197,15176,1,2.0
17197,15204,1,3.0
17197,15307,1,4.0
17197,15696,1,5.0
17198,15679,1,1.0
17199,14896,2,1.0
17199,14846,1,2.0
17199,14924,1,3.0
17199,15015,1,4.0
17199,15079,1,5.0
17200,15127,3,1.0
17200,15527,1,2.0
17200,15791,1,3.0
17201,15057,1,1.0
17202,15301,1,1.0
17203,15301,1,1.0
17204,14967,1,1.0
17204,14998,1,2.0
17204,15275,1,3.0
17205,15727,1,1.0
17206,15068,1,1.0
17207,15128,1,1.0
17208,15128,1,1.0
17209,15465,1,1.0
17210,15620,1,1.0
17210,15112,1,2.0
17210,15384,1,3.0
17211,15918,1,1.0
17212,15258,1,1.0
17213,15630,2,1.0
17213,15665,1,2.0
17214,15570,1,1.0
17214,15670,1,2.0
17214,14982,1,3.0
17216,15534,2,1.0
17216,15828,1,2.0
17216,14842,1,3.0
17216,15020,1,4.0
17216,15468,1,5.0
17217,15217,1,1.0
17217,15773,1,2.0
17219,14880,1,1.0
17219,15266,1,2.0
17219,15910,1,3.0
17220,14973,1,1.0
17220,15501,1,2.0
17220,15631,1,3.0
17221,15263,1,1.0
17222,15382,2,1.0
17222,15463,1,2.0
17223,16022,1,1.0
17223,15154,1,2.0
17223,15803,1,3.0
17223,15827,1,4.0
17224,15200,1,1.0
17224,15925,1,2.0
17224,15944,1,3.0
17225,15200,1,1.0
17225,15925,1,2.0
17225,15944,1,3.0
17226,15200,1,1.0
17226,15925,1,2.0
17226,15944,1,3.0
17227,14956,1,1.0
17228,15069,2,1.0
17228,15002,1,2.0
17228,14862,1,3.0
17228,15138,1,4.0
17229,15414,1,1.0
17229,15431,1,2.0
17230,15467,3,1.0
