path_id,node_sequence
P42082,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > motorboats, other than outboard motorboats"
P42085,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > wooden kitchen cabinets and vanities"
P42081,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > yachts and other vessels for pleasure or sports"
P42086,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > seats (including aircraft seats)"
P42088,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > water-skis, surfboards and other water-sport equipment"
P42087,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood consisting solely of sheets of wood not exceeding 6 mm thickness > engineered wood flooring panels"
P42083,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > other wooden furniture"
P38721,"acrylonitrile-butadiene-styrene (abs) copolymers > buttons of plastics, not covered with textile material > merchandising of licensed sports apparel"
P38642,"acrylonitrile-butadiene-styrene (abs) copolymers > buttons of plastics, not covered with textile material > women's or girls' dresses, of cotton, not knitted or crocheted"
P38763,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > routers and network switches
P38753,acrylonitrile-butadiene-styrene (abs) copolymers > slide fasteners and parts thereof > handbags with outer surface of plastic sheeting or of textile materials
P38761,"acrylonitrile-butadiene-styrene (abs) copolymers > buttons of plastics, not covered with textile material > men's or boys' trousers, overalls, breeches and shorts, of cotton, not knitted or crocheted"
P38636,"acrylonitrile-butadiene-styrene (abs) copolymers > buttons of plastics, not covered with textile material > men's shirts, of cotton"
P38714,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > sensors for continuous glucose monitoring
P38735,acrylonitrile-butadiene-styrene (abs) copolymers > optical media for software > flight simulators
P38645,acrylonitrile-butadiene-styrene (abs) copolymers > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P38728,"acrylonitrile-butadiene-styrene (abs) copolymers > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P38679,acrylonitrile-butadiene-styrene (abs) copolymers > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P38768,"acrylonitrile-butadiene-styrene (abs) copolymers > articles of plastics, not elsewhere specified > swimming pool water filtration equipment"
P38750,"acrylonitrile-butadiene-styrene (abs) copolymers > plastic, polymers in primary forms > wallpaper and similar wall coverings, of paper"
P38659,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > illuminated signs and displays
P38803,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > microphones and stands therefor
P38671,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > traffic control equipment
P38748,"acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > electrical switches for a voltage not exceeding 1,000 v"
P38686,"acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment"
P38705,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles nes > virtual reality headsets
P38655,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > other switches
P38703,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > greenhouse supplies
P38663,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > orthopedic appliances parts and accessories
P38687,"acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > other orthopedic appliances, including parts and accessories"
P38741,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles for use in toys > toys and games
P38651,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > other orthopedic appliances and parts
P38742,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > toys and games
P38781,"acrylonitrile-butadiene-styrene (abs) copolymers > articles of plastics, not elsewhere specified > vacuum flasks and other vacuum vessels"
P38749,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > sprays and spray parts
P38774,acrylonitrile-butadiene-styrene (abs) copolymers > optical media for software > video games of a kind used with a television receiver
P38694,acrylonitrile-butadiene-styrene (abs) copolymers > plastic articles > action figures and accessories
P194,"acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives > natural gas liquids (ngls)"
P196,"acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives > nucleic acids and their salts, other than heterocyclic compounds > human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products"
P195,"acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives > nucleic acids and their salts, other than heterocyclic compounds > diagnostic or laboratory reagents on a backing > antisera and other blood fractions, whether or not modified or obtained"
P193,"acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives > nucleic acids and their salts, other than heterocyclic compounds > diagnostic or laboratory reagents on a backing > immunological products, mixed"
P46551,"acyclic hydrocarbons, nesoi > nucleic acids and their salts, other heterocyclic compounds, nesoi > blood-grouping reagents > gene therapy medicinal products"
P46547,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > cleaning preparations for automobiles"
P46544,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > lubricating preparations (including cutting oil, bolt or nut release preparation, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants)"
P46540,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > chemical additives for lubricating oils > petroleum oils and oils obtained from bituminous minerals, other than crude; preparations n.e.c."
P46530,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > potassium chloride (fertilizer)"
P46548,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > light oils and preparations (motor spirit/gasoline)"
P46529,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > liquefied butanes"
P46534,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > gasoline"
P46546,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > petroleum oils and oils obtained from bituminous minerals (other than crude) > cleaning preparations for automobiles"
P46531,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > liquefied petroleum gas (lpg)"
P46539,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > liquefied petroleum gases (lpg)"
P46532,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > petroleum oils (not crude) and oils obtained from bituminous minerals"
P46542,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > petroleum oils and oils obtained from bituminous minerals, other than crude; preparations n.e.c."
P46545,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > petroleum oils, other than crude > paints and varnishes based on synthetic polymers, dispersed or dissolved in a non-aqueous medium"
P46535,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > petroleum oils and oils obtained from bituminous minerals (excluding crude) and preparations"
P46541,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > chemical additives for lubricating oils > petroleum oils and oils obtained from bituminous minerals, other than crude; preparations n.e.c."
P46533,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > crude oil > gasoline"
P46549,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > light oils and preparations > light oils and preparations (aviation spirit)"
P46528,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils containing petroleum oils > polymers of propylene, in primary forms"
P46536,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > lubricating preparations containing petroleum oils or oils obtained from bituminous minerals > other additives for mineral oils (including gasoline) or for other liquids used for the same purposes"
P46538,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils containing petroleum oils or oils obtained from bituminous minerals > lubricating oil"
P46543,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > lubricating preparations containing, by weight, less than 70% of petroleum oils or oils obtained from bituminous minerals > lubricating preparations (including cutting oil, bolt or nut release preparation, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants)"
P46537,"additives for lubricating oils, not containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils, containing petroleum oils or oils obtained from bituminous minerals > additives for lubricating oils containing petroleum oils or oils obtained from bituminous minerals > other additives for mineral oils (including gasoline) or for other liquids used for the same purposes"
P20831,"adhesive tapes > insulated electric conductors, for a voltage not exceeding 1,000 volts, fitted with connectors > control panels for electric control or distribution"
P10878,"agricultural machinery > avocados, fresh or dried"
P10880,"agricultural machinery > foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh"
P10898,agricultural machinery > sunflower seeds > cookies (sweet biscuits)
P10883,agricultural machinery > sunflower seeds > corn (maize) seed
P10891,"agricultural machinery > seeds, fruits and spores; of a kind used for sowing, n.e.s. in heading no. 1209 > vegetables, preserved, not frozen"
P10881,"agricultural machinery > seeds, fruits and spores, of a kind used for sowing, other > foliage, branches and other parts of plants, without flowers or flower buds, and grasses, dried"
P10897,"agricultural machinery > sunflower seeds > starch > pasta, whether or not cooked or stuffed"
P10875,agricultural machinery > sunflower seeds > starch > prepared foods obtained by the swelling or roasting of cereals or cereal products
P10885,agricultural machinery > sunflower seeds > animal feed > live horses
P10888,agricultural machinery > sunflower seeds > animal or vegetable fats and oils > frozen cuts and edible offal of fowls of the species gallus domesticus (chicken)
P10895,agricultural machinery > sunflower seeds > animal or vegetable fats and oils > other preparations used in animal feeding
P10877,"agricultural machinery > sunflower seeds > flours, meals, and pellets of oil seeds > nutritional supplements"
P10893,agricultural machinery > sunflower seeds > rolled or flaked grains of other cereals > prepared foods obtained from uncooked cereal flakes
P10882,agricultural machinery > sunflower seeds > vegetable oils and their fractions > skin care products
P10886,agricultural machinery > sunflower seeds > vegetable oils > sweet corn frozen
P10899,agricultural machinery > sunflower seeds for sowing > sunflower seeds > cookies (sweet biscuits)
P10884,agricultural machinery > sunflower seeds for sowing > sunflower seeds > corn (maize) seed
P10890,"agricultural machinery > sunflower seeds > sunflower oil > breads, pastry, cakes, biscuits and other bakers' wares"
P10892,agricultural machinery > sunflower seeds > vegetable fats and oils > frozen potatoes
P10887,"agricultural machinery > sunflower seeds > vegetable fats and oils > potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
P10896,agricultural machinery > sunflower seeds > vegetable oil > cheese balls
P10894,agricultural machinery > sunflower seeds > oil-cake and other solid residues > other preparations used in animal feeding
P10879,"agricultural machinery > grapes, fresh > fresh grapes > wine of fresh grapes, in containers not exceeding 2 liters"
P10889,"agricultural machinery > grapes, fresh > fresh grapes > grape spirits"
P10876,"agricultural machinery > grapes, fresh > fresh grapes > wine of fresh grapes, including fortified wines; grape must with fermentation prevented or arrested by the addition of alcohol, in containers holding more than 2 liters"
P19813,agricultural machinery for preparing or cultivating soil > palm oil > soap
P19814,agricultural machinery for preparing or cultivating soil > palm oil > soap and organic surface-active products for toilet use
P10579,"agricultural or horticultural machinery for soil preparation or cultivation > peppers, fresh or chilled > processed vegetables"
P10578,"agricultural or horticultural machinery for soil preparation or cultivation > peppers, fresh or chilled > dried vegetables > plant-based burgers"
P48655,"agricultural or horticultural watering appliances > capsicum or pimenta, neither crushed nor ground > mixtures of spices > non-alcoholic beverages, not elsewhere specified or included"
P48656,"agricultural or horticultural watering appliances > capsicum or pimenta, neither crushed nor ground > mixtures of spices > mixed seasonings and condiments"
P35237,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > confectionery products"
P35241,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > chocolate, prepared as blocks, slabs or bars"
P35238,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > chocolate and other food preparations containing cocoa > ice cream and other edible ice"
P35239,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > cocoa powder, not containing added sugar or other sweetening matter > prepared foods obtained from uncooked cereal flakes"
P35242,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > cocoa powder, not containing added sugar or other sweetening matter > bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products"
P35236,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > chocolate and other food preparations containing cocoa > bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa"
P35240,"agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers > cocoa beans > cocoa powder, not containing added sugar or other sweetening matter > chocolate, prepared as blocks, slabs or bars"
P10680,air conditioning machine parts of iron or steel > air conditioning machines incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)
P49445,"air conditioning machines, window or wall types, self-contained > air conditioning machines > refrigerated trailers"
P49446,"air conditioning machines, window or wall types, self-contained > air conditioning machines > cooling systems"
P43082,"air heaters and hot air distributors, including distributors which can also distribute fresh or conditioned air > industrial machinery for temperature control"
P19670,"alkaloids of cinchona and their derivatives > alkaloids, natural or synthetic, and their derivatives > medicaments containing alkaloids or derivatives"
P29982,"alkanes, acyclic, unsaturated > surface-active preparations, not elsewhere specified > other paints and varnishes"
P29981,"alkanes, acyclic, unsaturated > surface-active preparations, not elsewhere specified > preparations for treatment of textile materials"
P32762,"alloy steel in ingots or other primary forms > slide fasteners > men's or boys' shirts, of cotton"
P32669,"alloy steel in ingots or other primary forms > slide fasteners > men's jackets, of wool"
P32822,alloy steel in ingots or other primary forms > slide fasteners > women's cotton trousers
P32800,alloy steel in ingots or other primary forms > slide fasteners > men's cotton trousers
P32836,alloy steel in ingots or other primary forms > slide fasteners > men's trousers and shorts
P32734,"alloy steel in ingots or other primary forms > slide fasteners > men's trousers, bib and brace overalls, breeches and shorts"
P32711,"alloy steel in ingots or other primary forms > slide fasteners > women's or girls' dresses, of cotton"
P32799,"alloy steel in ingots or other primary forms > slide fasteners > women's trousers, bib and brace overalls, breeches and shorts"
P32807,alloy steel in ingots or other primary forms > parts suitable for use solely or principally with electric motors and generators > gas turbines
P32770,"alloy steel in ingots or other primary forms > parts suitable for use solely or principally with electric motors and generators > industrial or laboratory furnaces and ovens, non-electric"
P32689,"alloy steel in ingots or other primary forms > parts suitable for use solely or principally with electric motors and generators > parts for air or vacuum pumps, compressors, fans, blowers"
P32809,"alloy steel in ingots or other primary forms > parts suitable for use solely or principally with electric motors and generators > parts of filtering or purifying machinery and apparatus, for liquids or gases"
P32737,alloy steel in ingots or other primary forms > parts suitable for use solely or principally with electric motors and generators > industrial machinery for other uses involving heating or cooling
P32719,"alloy steel in ingots or other primary forms > ac motors, multi-phase, of an output exceeding 75 kw > other mobile cranes"
