scenario_id,scenario_type,linked_items,item_count
16912,location,"Crude Petroleum Oils;Liquefied Propane;Petroleum oils and oils obtained from bituminous minerals, crude",3
16913,location,"Crude Petroleum Oils;Natural Gas;Natural Gas, Gaseous",3
16914,location,"Natural Gas, Gaseous",1
16915,location,"Crude Petroleum Oils;Liquefied Propane;Natural Gas;Petroleum oils and oils obtained from bituminous minerals, crude",4
16916,location,"Electrical Apparatus for Switching or Protecting Electrical Circuits;Special Purpose Vehicles;Tableware and kitchenware of plastics;Toilet paper, handkerchiefs, and similar household or sanitary articles of paper",4
16917,location,"Drive Axles with Differential, whether or not provided with other transmission components;Parts and Accessories of the Motor Vehicles",2
16918,location,"Nickel alloy bars, rods, profiles, and wire;Nickel alloy plate, sheet, strip and foil",2
16919,location,Wooden Furniture,1
16920,location,Paints and Varnishes (including enamels and lacquers),1
16921,location,"Cartons, boxes and cases, corrugated paper or paperboard;Instruments and appliances used in medical, surgical, dental, or veterinary sciences, n.e.s.;Neuromodulation Devices",3
16922,location,Liquefied propane,1
16923,location,"Petroleum oils and oils obtained from bituminous minerals, other than crude",1
16924,location,Automatic circuit breakers;Transformers having a power handling capacity not exceeding 1 kVA,2
16925,location,"Maize (corn) starch;Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter",3
16926,location,Quicklime,1
16927,location,"Motor vehicles for transport of persons, with a spark-ignition internal combustion reciprocating piston engine, of a cylinder capacity exceeding 3,000 cc",1
16928,location,Prefabricated Buildings,1
16929,location,Towers and lattice masts of iron or steel,1
16930,location,Lithium-ion Batteries,1
16931,location,"Centrifugal Pumps;Parts for Air or Vacuum Pumps, Compressors and Fans",2
16932,location,Crude sunflower-seed or safflower oil;Lead-acid accumulators (batteries),2
16933,location,Light Oils and Preparations,1
16934,location,Petroleum Bitumen;Petroleum Oils and Oils Obtained from Bituminous Minerals (other than crude) and Preparations,2
16935,location,Glass for liquid crystal displays,1
16936,location,Personal deodorants and antiperspirants,1
16937,location,Food preparations not elsewhere specified or included,1
16938,location,"Medical, surgical or veterinary instruments and appliances;Medical, surgical, or laboratory sterilizers;Parts suitable for use solely or principally with internal combustion piston engines;Transmission shafts (including cam shafts and crank shafts) and cranks",4
16939,location,Electric Water Heaters,1
16940,location,Corrugated Paper Boxes,1
16941,location,Centrifugal Pumps,1
16942,location,Electrical Control and Distribution Boards,1
16943,location,Indicator Panels Incorporating Liquid Crystal Devices or Light Emitting Diodes,1
16944,location,Indicator Panels Incorporating Liquid Crystal Devices or Light Emitting Diodes,1
16945,location,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel",1
16946,location,"Dextrins and other modified starches;Ethyl alcohol and other spirits, denatured;Starch; corn (maize) starch",4
16947,location,Metal Furniture for Offices;Stainless Steel Sheet and Strip,2
16948,location,Fresh or chilled chicken cuts,1
16949,location,"Cruise Ships, Excursion Boats, Ferry-Boats, Cargo Ships, Barges",1
16950,location,Cell Processing and Storage Solutions,1
16951,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, not elsewhere specified",1
16952,location,"Medical Instruments and Appliances;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, not elsewhere specified;Pharmaceutical preparations",3
16953,location,Parts and accessories of automatic data processing machines,1
16954,location,"Brewing or distilling dregs and waste, whether or not in the form of pellets;Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher",2
16955,location,Land Development Services;Parts for telecommunication apparatus;Prefabricated Buildings,3
16956,location,"Articles and equipment for sports or outdoor games;Automatic teller machines;Ballpoint pens;Cartons, boxes and cases, of corrugated paper or paperboard;Cash registers;Chromatographs and electrophoresis instruments;Domestic Appliances;Electrical Machines and Apparatus",8
16957,location,Electric Sensors;Pressure Sensors,2
16958,location,Parts and accessories of motor vehicles;Parts suitable for use solely or principally with internal combustion piston engines,2
16959,location,Parts of Filtering or Purifying Machinery and Apparatus;Wooden Kitchen Cabinets,2
16960,location,"Tubes, pipes and hoses, of vulcanized rubber except hard rubber, reinforced or otherwise combined only with metal, without fittings",1
16961,location,Dental hygiene preparations including dentifrices;Industrial Belting,2
16962,location,Filtering or purifying machinery and apparatus for gases;Machinery for finishing paper or paperboard;Machinery for making pulp of fibrous cellulosic material;Parts of industrial machinery,4
16963,location,Glass containers for packing or conveyance of goods,1
16964,location,"Parts of spacecraft, satellites, and similar vehicles;Spacecraft, satellites, and similar vehicles",2
16965,location,Artificial parts of the body;Orthopedic or fracture appliances,2
16966,location,Cash registers;Parts of engines and motors;Plastic closures;Point of Sale (POS) terminals;Point-of-sale terminals,5
16967,location,"Coffee, roasted, not decaffeinated;Instant coffee, flavored;Tractors (other than tractors of heading 8709)",3
16968,location,"Aluminum containers for compressed or liquefied gas;Cartons, boxes and cases, corrugated paper or paperboard;Fuel, lubricating or cooling medium pumps for internal combustion piston engines;Parts suitable for use solely or principally with the machinery of headings 8425 to 8430;Tractors, other than tractors of heading 8709",5
16969,location,Other food preparations not elsewhere specified or included;Prepared or preserved hams and cuts thereof of swine,2
16970,location,Kitchen Furniture;Land Development Services;Prefabricated Buildings;Residential Lot Development,4
16971,location,"Analog-to-Digital Converters;Audio DSPs (Digital Signal Processors);Beer Made From Malt;Closed System Transfer Devices;Desktop Computers;Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter of the HS code;Electronic Integrated Circuits;Electronic Integrated Circuits as Processors and Controllers",8
16972,location,"Natural gas, liquified",1
16973,location,Gear boxes and parts for motor vehicles,1
16974,location,Gear boxes and parts for motor vehicles,1
16975,location,"Polyvinyl Chloride, not mixed with any other substances, in primary forms;Propylene Copolymers, in primary forms",2
16976,location,"Herbicides, anti-sprouting products and plant-growth regulators;Insecticides",2
16977,location,"Black Pepper, Whole;Mixed Seasonings and Condiments;Other Plates, Sheets, Film, Foil and Strip, of Plastics;Parts of machines and mechanical appliances;Plastic Boxes, Cases, Crates and Similar Articles",5
16978,location,Parts for Electrical Control and Distribution Boards,1
16979,location,Surgical Instruments and Appliances,1
16980,location,Wood in the Rough,1
16981,location,Needles for medical use;Washing and Cleaning Preparations,2
16982,location,Copper Ores and Concentrates,1
16983,location,Copper Cathodes,1
16984,location,Footwear with outer soles of rubber/plastics and uppers of leather,1
16985,location,"Parts of airplanes or helicopters;Power Management ICs;Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",3
16986,location,Mineral and aerated waters,1
16987,location,Polyethylene in primary forms,1
16988,location,Crude Oil,1
16989,location,Natural Gas,1
16990,location,Fresh Grapes,1
16991,location,Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations,1
16992,location,"Petroleum oils and oils obtained from bituminous minerals, crude",1
16993,location,"Crude Oil;Natural Gas;Petroleum Oils and Oils Obtained from Bituminous Minerals;Petroleum Oils and Oils Obtained from Bituminous Minerals, Crude",4
16994,location,Prefabricated Buildings,1
16995,location,Crude Oil;Natural Gas in Gaseous State,2
16996,location,Crude Oil,1
16997,location,"Structures and parts of structures, of aluminum",1
16998,location,"Containers for compressed or liquefied gas, of iron or steel;Freezers of the chest type, not exceeding 800 l capacity;Machinery for liquefying air or other gases",3
16999,location,Vaccines for veterinary medicine,1
17000,location,"Catheters, Cannulae and the Like; Other Devices, Appliances",2
17001,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",1
17002,location,"Beverages, non-alcoholic, sweetened or flavored",1
17003,location,"Insecticides;Towers and Lattice Masts;Warships, naval vessels",3
17004,location,Wooden Furniture,1
17005,location,"Boards, panels, consoles, desks, cabinets and other bases for electrical control or the distribution of electricity;Computed Tomography (CT) Scanners;Data Center and Cloud Computing Switches;Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits, for a voltage not exceeding 1,000 volts;Electronic integrated circuits - Network and communication ICs;Escalators and Moving Walkways;Instruments and apparatus for physical or chemical analysis;Interchangeable tools for hand- or machine-tools",8
17006,location,"Amplifiers, Electronic Integrated Circuits;Communication apparatus;Electronic integrated circuits - Processors and controllers;Machines and apparatus for arc (including plasma arc) welding of metals;Machines for the reception, conversion and transmission or regeneration of voice, images or other data;Processors and Controllers, Electronic Integrated Circuits;Storage Units;Tablets",8
17007,location,"Beauty or make-up preparations and preparations for the care of the skin;Footwear with outer soles and uppers of rubber or plastics;Handbags with outer surface of leather;Laser Diodes;Maize (corn) starch;Microcontrollers;Other carpets and other textile floor coverings, whether or not made up;Parts for Air or Vacuum Pumps, Air or Other Gas Compressors",8
17008,location,"T-shirts, singlets and other vests, of cotton, knitted or crocheted",1
17009,location,Wound Dressings and Bandages,1
17010,location,Electric Sensors,1
17011,location,Mineral and aerated waters,1
17012,location,Parts for Nuclear Reactors,1
17013,location,"Lubricating preparations (including cutting oil, bolt or nut release preparation, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants)",1
17014,location,"Bread, pastry, cakes, biscuits and other bakers' wares",1
17015,location,"Bread, pastry, cakes, biscuits and other bakers' wares",1
17016,location,Parts of Hydraulic and Pneumatic Engines and Motors,1
17017,location,Natural Gas,1
17018,location,Switches for Electrical Circuits;Valves for Hydraulic or Pneumatic Transmissions,2
17019,location,"Doors, windows and their frames and thresholds for doors, of aluminum;Float glass and surface ground or polished glass, in sheets, non-wired, having an absorbent, reflecting or non-reflecting layer;Multiple-walled insulating units of glass",3
17020,location,"Mineral Wool Insulation;Mineral or Chemical Fertilizers Containing Nitrogen, Phosphorus, and Potassium;Superphosphates",3
17021,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",1
17022,location,Tractors (other than tractors of heading 8709),1
17023,location,"Electrical Switches for a Voltage Not Exceeding 1,000 V",1
17024,location,Prepared or preserved beef,1
17025,location,"Boxes, cases, crates and similar articles of plastics;Parts and accessories of the motor vehicles of headings 8701 to 8705",2
17026,location,"Bread, pastry, cakes, biscuits and other bakers' wares",1
17027,location,Machinery for mineral processing;Machinery for the treatment of materials by a process involving a change of temperature,2
17028,location,Warships and Lifeboats,1
17029,location,"Light Oils and Preparations;Parts for Electrical Control and Distribution Boards;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other than Crude",3
17030,location,"Bread, pastry, cakes, biscuits and other bakers' wares;Pasta, whether or not cooked or stuffed (including ravioli, etc.), containing more than 20% by weight of sausage or meat",2
17031,location,"Cereal grains otherwise worked, prepared or preserved;Food preparations not elsewhere specified or included;Prepared Foods Obtained from Uncooked Cereal Flakes;Prepared foods obtained by the swelling or roasting of cereals or cereal products;Prepared foods obtained from unroasted cereal flakes or mixtures",5
17032,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale;Medicaments containing other antibiotics, put up in measured doses or for retail sale",2
17033,location,Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 800 cc,1
17034,location,Coniferous Wood in the Rough,1
17035,location,"Polyethylene, specific gravity of 0.94 or more",1
17036,location,Catalysts;Polypropylene,2
17037,location,Trucks with a Gross Vehicle Weight Exceeding 20 Metric Tons,1
17038,location,"Light Oils and Preparations;Oxygen;Petroleum Bitumen;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other than Crude",4
17039,location,"Petroleum oils and oils obtained from bituminous minerals, crude",1
17040,location,"Light Oils and Preparations;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other Than Crude",2
17041,location,Fixed resistors for a power handling capacity not exceeding 20 W,1
17042,location,"Petroleum Bitumen;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other than Crude",2
17043,location,"Cans, iron or steel, other;Tractors (other than tractors of heading 8709)",2
17044,location,Wind Turbines,1
17045,location,Instruments and Apparatus for Measuring or Checking Pressure;Parts and Accessories for Instruments in Chapter 90;Test equipment for semiconductor devices,3
17046,location,"Spectrometers, spectrophotometers and spectrographs using optical radiations",1
17047,location,"Maize (corn) starch;Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter",3
17048,location,Laser Modules;Medical Equipment and Devices;Ophthalmic Preparations;Robotic Lawn Mowers;Surgical and Medical Instruments,5
17049,location,Wooden Furniture for Office,1
17050,location,"Upholstered seats with wooden frames;Wooden furniture of a kind used in the bedroom;Wooden furniture other than for office, kitchen or bedroom",3
17051,location,Parts suitable for use solely or principally with the machines of headings 8501 or 8502,1
17052,location,Artificial joints;Computed Tomography (CT) Scanners;Dental Instruments and Appliances;Fiber Lasers;Fixed resistors for electrical circuits;Orthopedic or fracture appliances;X-Ray Machines,7
17053,location,Cash registers,1
17054,location,Mineral and aerated waters,1
17055,location,"Butanes, Liquefied",1
17056,location,"Bakery products (e.g., churros, funnel cakes)",1
17057,location,Frozen soft pretzels,1
17058,location,Centrifugal Pumps,1
17059,location,"Printed Forms, Including Checkbooks",1
17060,location,"Articles of Cement, Concrete or Artificial Stone",1
17061,location,Arc Welding Equipment,1
17062,location,"Bearing housings; plain shaft bearings;Gaskets, washers and other seals of vulcanized rubber",3
17063,location,Coniferous Wood in the Rough,1
17064,location,Other Electronic Integrated Circuits,1
17065,location,"Petroleum oils and oils obtained from bituminous minerals, other than crude",1
17066,location,Bearing Housings,1
17067,location,"Bread, pastry, cakes, biscuits, and other bakers' wares",1
17068,location,Artificial Teeth;Dental Fittings (including Dentures);Orthodontic Appliances and Fittings,3
17069,location,Corn (Maize) Seed,1
17070,location,Prefabricated Buildings,1
17071,location,Fork-lift Trucks;Other Trucks Fitted With Lifting or Handling Equipment,2
17072,location,"Cans, iron or steel, for food and drink;Frozen Potatoes;Prepared or Preserved Potatoes",3
17073,location,Immunological Products;Vaccines for human medicine,2
17074,location,Semi-finished iron or non-alloy steel,1
17075,location,"Flat-rolled products of iron or non-alloy steel, coated with zinc",1
17076,location,Wooden Furniture,1
17077,location,"Breathing appliances and gas masks, excluding protective masks;Cigarettes containing tobacco;Fats and oils, animal or vegetable, and their fractions;Gas masks and respirators, excluding protective masks having neither mechanical parts nor replaceable filters;Lamps and lighting fittings;Medical furniture (hospital beds, examination tables, etc.);Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses;Metal Furniture",8
17078,location,"Chocolate, prepared as blocks, slabs or bars",1
17079,location,"Footwear with outer soles and uppers of rubber or plastics;Footwear with outer soles of rubber, plastics, leather, or composition leather and uppers of leather",2
17080,location,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials",1
17081,location,Polypropylene,1
17082,location,Instruments and Apparatus for Physical or Chemical Analysis,1
17083,location,Crude Oil,1
17084,location,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents;Dog or cat food, put up for retail sale;Immunological products, put up in measured doses or in forms or packings for retail sale;Other preparations used in animal feeding",4
17085,location,"Birds' eggs, in shell, fresh, preserved or cooked",1
17086,location,"Flat-rolled products of iron or non-alloy steel, width of 600 mm or more, cold-rolled;Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel",2
17087,location,"Cans, iron or steel, capacity < 50L",1
17088,location,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,1
17089,location,Medical Instruments and Appliances,1
17090,location,Other Welding Apparatus,1
17091,location,"Automatic circuit breakers;Cored Wire of Base Metal, for Electric Arc-Welding",2
17092,location,Activated Carbon,1
17093,location,Jewelry of precious metal excluding silver,1
17094,location,"Footwear with outer soles of rubber, plastics or composition leather",1
17095,location,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol. or higher,1
17096,location,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol. or higher,1
17097,location,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol. or higher,1
17098,location,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol. or higher,1
17099,location,"Butanes, liquefied;Light oils and preparations;Petroleum oils and oils obtained from bituminous minerals (other than crude)",3
17100,location,"Boards, panels, consoles, desks, cabinets and other bases for electric control or the distribution of electricity;Instruments and apparatus for physical or chemical analysis;Instruments and apparatus for physical or chemical analysis (e.g., chromatographs, electrophoresis instruments);Instruments and apparatus for physical or chemical analysis (e.g., spectrometers, gas or smoke analysis apparatus);Measuring or checking instruments, appliances and machines, nesoi in chapter 90;Microtiter plates and related accessories;Other articles of plastics;Parts and accessories for machines of heading 8486",8
