Product Name,Location,Latitude,Longitude
Electronic integrated circuits,"Lehi, Utah, USA",40.3916,-111.8508
Electronic integrated circuits,"Grenoble, France",45.1885,5.7245
Electronic integrated circuits,"Hsinchu Science Park, Hsinchu, Taiwan",24.7968,120.9969
Electronic integrated circuits,"Austin, Texas, USA",30.2672,-97.7431
Electronic integrated circuits,"Chandler, Arizona, USA",33.3062,-111.8413
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Kiryat Gat, Israel",31.6086,34.7642
Electronic integrated circuits,"Kulim, Malaysia",5.3648,100.5611
Electronic integrated circuits,Singapore,1.3521,103.8198
Electronic integrated circuits,"Bangalore, India",12.9716,77.5946
Electronic integrated circuits,"Grenoble, France",45.1885,5.7245
Electronic integrated circuits,"Shanghai, China",31.2304,121.4737
Electronic integrated circuits,"Intel Corporation, Chandler, Arizona, USA",33.3062,-111.8413
Electronic integrated circuits,"Samsung Electronics, Hwaseong, Gyeonggi-do, South Korea",37.206,126.8435
Electronic integrated circuits,"TSMC, Hsinchu, Taiwan",24.7945,120.9936
Electronic integrated circuits,"Infineon Technologies, Dresden, Germany",51.0403,13.7101
Electronic integrated circuits,"STMicroelectronics, Crolles, France",45.268,5.9001
Electronic integrated circuits,"Intel Corporation, Chandler, Arizona, USA",33.269,-111.8477
Electronic integrated circuits,"Samsung Electronics, Hwaseong, South Korea",37.2083,126.9746
Electronic integrated circuits,"Taiwan Semiconductor Manufacturing Company, Hsinchu, Taiwan",24.7945,120.9935
Electronic integrated circuits,"Texas Instruments, Dallas, Texas, USA",32.9098,-96.6389
Electronic integrated circuits,"Infineon Technologies, Villach, Austria",46.6145,13.8463
Electronic integrated circuits,"STMicroelectronics, Crolles, France",45.267,5.8924
Electronic integrated circuits,"Hsinchu Science Park, Taiwan",24.7849,120.9938
Electronic integrated circuits,"Silicon Valley, California, USA",37.3875,-122.0575
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Shenzhen, Guangdong, China",22.5431,114.0579
Electronic integrated circuits,"Kyoto, Japan",35.0116,135.7681
Electronic integrated circuits,"Intel Corporation, Chandler, Arizona, USA",33.299,-111.789
Electronic integrated circuits,"TSMC, Hsinchu, Taiwan",24.7945,120.993
Electronic integrated circuits,"Samsung Electronics, Hwaseong, South Korea",37.2048,126.818
Electronic integrated circuits,"GlobalFoundries, Dresden, Germany",51.04,13.787
Electronic integrated circuits,"Texas Instruments, Dallas, Texas, USA",32.9098,-96.752
Electronic integrated circuits,"Micron Technology, Boise, Idaho, USA",43.615,-116.2023
Electronic integrated circuits,"STMicroelectronics, Crolles, France",45.267,5.883
Electronic integrated circuits,"Broadcom Inc., San Jose, California, USA",37.3688,-121.929
Electronic integrated circuits,"Infineon Technologies, Villach, Austria",46.61,13.8558
Electronic integrated circuits,"NXP Semiconductors, Nijmegen, Netherlands",51.8456,5.8528
Electronic integrated circuits,"Hsinchu, Taiwan",24.8138,120.9675
Electronic integrated circuits,"San Jose, California, USA",37.3382,-121.8863
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Bangalore, India",12.9716,77.5946
Electronic integrated circuits,"Shenzhen, China",22.5431,114.0579
Electronic integrated circuits,"Intel Corporation, Chandler, Arizona, USA",33.2749,-111.7227
Electronic integrated circuits,"Samsung Electronics, Hwaseong, South Korea",37.206,126.8431
Electronic integrated circuits,"TSMC, Hsinchu, Taiwan",24.7968,120.9964
Electronic integrated circuits,"GlobalFoundries, Malta, New York, USA",42.9527,-73.8021
Electronic integrated circuits,"Texas Instruments, Dallas, Texas, USA",32.9098,-96.6389
Insulated wire and cable,"Prysmian Group, Milan, Italy",45.4642,9.19
Insulated wire and cable,"Nexans, Lyon, France",45.764,4.8357
Insulated wire and cable,"Sumitomo Electric Industries, Osaka, Japan",34.6937,135.5023
Insulated wire and cable,"Southwire Company, Carrollton, Georgia, USA",33.5801,-85.0766
Insulated wire and cable,"Furukawa Electric Co., Ltd., Tokyo, Japan",35.6895,139.6917
Insulated wire and cable,"Leoni AG, Nuremberg, Germany",49.4521,11.0767
Electronic integrated circuits,"Hsinchu, Taiwan",24.7964,120.992
Electronic integrated circuits,"Austin, Texas, USA",30.2672,-97.7431
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Chandler, Arizona, USA",33.3062,-111.8413
Electronic integrated circuits,"Bangalore, India",12.9716,77.5946
Electronic integrated circuits,"Tianjin, China",39.3434,117.3616
Electronic integrated circuits,"Leuven, Belgium",50.8798,4.7005
Lithium-ion accumulators,"Tesla Gigafactory 1, Sparks, Nevada, USA",39.5336,-119.6341
Lithium-ion accumulators,"LG Chem, Ochang, South Korea",36.7067,127.4145
Lithium-ion accumulators,"Panasonic, Osaka, Japan",34.6863,135.52
Lithium-ion accumulators,"CATL, Ningde, Fujian, China",26.6563,119.532
Lithium-ion accumulators,"Samsung SDI, Ulsan, South Korea",35.5384,129.3114
Lithium-ion accumulators,"BYD, Shenzhen, Guangdong, China",22.5431,114.0579
Lithium-ion accumulators,"SK Innovation, Seosan, South Korea",36.7854,126.4505
Electronic integrated circuits,"Intel Corporation, Chandler, Arizona, USA",33.30616,-111.84125
Electronic integrated circuits,"Samsung Electronics, Hwaseong, South Korea",37.20612,126.84361
Electronic integrated circuits,"TSMC, Hsinchu Science Park, Taiwan",24.7946,120.9938
Electronic integrated circuits,"GlobalFoundries, Dresden, Germany",51.10454,13.73142
Electronic integrated circuits,"Texas Instruments, Richardson, Texas, USA",32.97225,-96.73525
Electronic integrated circuits,"Hsinchu, Taiwan",24.7849,120.9992
Electronic integrated circuits,"San Jose, California, USA",37.3382,-121.8863
Electronic integrated circuits,"Shenzhen, China",22.5431,114.0579
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,Singapore,1.3521,103.8198
Electronic integrated circuits,"Hsinchu Science Park, Taiwan",24.7849,121.0019
Electronic integrated circuits,"Silicon Valley, California, USA",37.3875,-122.0575
Electronic integrated circuits,"Shenzhen, Guangdong, China",22.5431,114.0579
Electronic integrated circuits,"Pudong, Shanghai, China",31.2304,121.4737
Electronic integrated circuits,"Kyoto, Japan",35.0116,135.7681
Electronic integrated circuits,"Penang, Malaysia",5.4164,100.3327
Electronic integrated circuits,"Bangalore, Karnataka, India",12.9716,77.5946
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Grenoble, France",45.1885,5.7245
Electronic integrated circuits,"Fab 8, Malta, New York, USA",42.9816,-73.7987
Electronic integrated circuits,"Hsinchu Science Park, Hsinchu, Taiwan",24.7849,120.9932
Electronic integrated circuits,"Santa Clara, California, USA",37.3541,-121.9552
Electronic integrated circuits,"Chandler, Arizona, USA",33.3062,-111.8413
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Bangalore, Karnataka, India",12.9716,77.5946
Other articles of plastics and articles of other materials of heading 3901 to 3914,"BASF SE, Ludwigshafen, Germany",49.481,8.433
Other articles of plastics and articles of other materials of heading 3901 to 3914,"Dow Chemical Company, Freeport, Texas, USA",28.9659,-95.3569
Other articles of plastics and articles of other materials of heading 3901 to 3914,"SABIC, Riyadh, Saudi Arabia",24.7136,46.6753
Other articles of plastics and articles of other materials of heading 3901 to 3914,"INEOS Group, Antwerp, Belgium",51.2194,4.4025
Other articles of plastics and articles of other materials of heading 3901 to 3914,"LG Chem, Yeosu, South Korea",34.7604,127.6622
Electronic integrated circuits,"Hsinchu Science Park, Taiwan",24.7849,120.996
Electronic integrated circuits,"Silicon Valley, California, USA",37.3875,-122.0575
Electronic integrated circuits,"Shenzhen, Guangdong, China",22.5431,114.0579
Electronic integrated circuits,"Dresden, Saxony, Germany",51.0504,13.7373
Electronic integrated circuits,"Penang, Malaysia",5.4164,100.3327
Electronic integrated circuits,"Hsinchu Science Park, Hsinchu City, Taiwan",24.7996,120.9794
Electronic integrated circuits,"Silicon Valley, California, USA",37.3875,-122.0575
Electronic integrated circuits,"Dresden, Saxony, Germany",51.0504,13.7373
Electronic integrated circuits,"Kyoto, Kyoto Prefecture, Japan",35.0116,135.7681
Electronic integrated circuits,"Bangalore, Karnataka, India",12.9716,77.5946
Electronic integrated circuits,"Seoul, South Korea",37.5665,126.978
Electronic integrated circuits,"Chandler, Arizona, USA",33.3062,-111.8413
Electronic integrated circuits,"Hsinchu Science Park, Hsinchu, Taiwan",24.7849,120.993
Electronic integrated circuits,"Silicon Valley, California, USA",37.3875,-122.0575
Electronic integrated circuits,"Dresden, Saxony, Germany",51.0504,13.7373
Electronic integrated circuits,"Bangalore, Karnataka, India",12.9716,77.5946
Electronic integrated circuits,"Kyoto, Japan",35.0116,135.7681
Transmission shafts and cranks,"Troy, Michigan, USA",42.6064,-83.1498
Transmission shafts and cranks,"Stuttgart, Germany",48.7758,9.1829
Transmission shafts and cranks,"Pune, Maharashtra, India",18.5204,73.8567
Transmission shafts and cranks,"Nagoya, Aichi, Japan",35.1815,136.9066
Transmission shafts and cranks,"Guadalajara, Jalisco, Mexico",20.6597,-103.3496
"New pneumatic tires, of rubber, of a kind used on motorcycles","Akron, Ohio, USA",41.0814,-81.5192
"New pneumatic tires, of rubber, of a kind used on motorcycles","Chennai, Tamil Nadu, India",13.0827,80.2707
"New pneumatic tires, of rubber, of a kind used on motorcycles","Rayong, Thailand",12.6825,101.2777
"New pneumatic tires, of rubber, of a kind used on motorcycles","Hangzhou, Zhejiang, China",30.2741,120.1551
"New pneumatic tires, of rubber, of a kind used on motorcycles","Jakarta, Indonesia",-6.2088,106.8456
Optical media for recording sound or other phenomena,"Sony DADC, Anif, Austria",47.7585,13.091
Optical media for recording sound or other phenomena,"CMI (CD Manufacturing, Inc.), Salt Lake City, Utah, USA",40.7608,-111.891
Optical media for recording sound or other phenomena,"Optical Disc Solutions, Huntsville, Alabama, USA",34.7304,-86.5861
Optical media for recording sound or other phenomena,"Technicolor, Piaseczno, Poland",52.06,21.0297
Optical media for recording sound or other phenomena,"Moser Baer, Greater Noida, India",28.4744,77.503
Electronic integrated circuits,"Dow Chemical Company, Freeport, Texas, USA",28.9784,-95.3569
Electronic integrated circuits,"ExxonMobil Chemical, Baytown, Texas, USA",29.7661,-94.9754
Electronic integrated circuits,"INEOS Olefins & Polymers USA, La Porte, Texas, USA",29.6658,-95.0194
Electronic integrated circuits,"LyondellBasell, Morris, Illinois, USA",41.357,-88.4217
Electronic integrated circuits,"SABIC, Geleen, Netherlands",50.9745,5.8101
Other articles of plastics and articles of other materials of headings 3901 to 3914,"BASF SE, Ludwigshafen, Germany",49.4794,8.4452
Other articles of plastics and articles of other materials of headings 3901 to 3914,"Dow Chemical Company, Midland, Michigan, USA",43.615,-84.2472
Other articles of plastics and articles of other materials of headings 3901 to 3914,"SABIC, Jubail Industrial City, Saudi Arabia",27.039,49.4056
Other articles of plastics and articles of other materials of headings 3901 to 3914,"LG Chem, Yeosu, South Korea",34.761,127.6622
Other articles of plastics and articles of other materials of headings 3901 to 3914,"ExxonMobil Chemical, Baytown, Texas, USA",29.7559,-94.9774
Motorcycle parts and accessories,"Akashi, Hyogo, Japan",34.6965,134.99
Motorcycle parts and accessories,"Bologna, Emilia-Romagna, Italy",44.4949,11.3426
Motorcycle parts and accessories,"Munich, Bavaria, Germany",48.1351,11.582
Motorcycle parts and accessories,"Hamamatsu, Shizuoka, Japan",34.71,137.7261
Motorcycle parts and accessories,"Milwaukee, Wisconsin, United States",43.0389,-87.9065
Internal combustion piston engines for motorcycles,"Munich, Germany - BMW Group Plant",48.1829,11.5906
Internal combustion piston engines for motorcycles,"Hamamatsu, Japan - Suzuki Motor Corporation",34.7064,137.7265
Internal combustion piston engines for motorcycles,"Bologna, Italy - Ducati Motor Holding S.p.A.",44.4938,11.3387
Internal combustion piston engines for motorcycles,"Minato City, Tokyo, Japan - Honda Motor Co., Ltd.",35.6581,139.7516
Internal combustion piston engines for motorcycles,"Milwaukee, Wisconsin, USA - Harley-Davidson Motor Company",43.0389,-87.9065
Clutches and parts thereof for motorcycles,"Hamamatsu, Japan",34.7108,137.7261
Clutches and parts thereof for motorcycles,"Pune, India",18.5204,73.8567
Clutches and parts thereof for motorcycles,"Bologna, Italy",44.4949,11.3426
Clutches and parts thereof for motorcycles,"Taichung, Taiwan",24.1477,120.6736
Clutches and parts thereof for motorcycles,"Akashi, Japan",34.6428,135.0076
Lead-acid accumulators,"Johnson Controls, Florence, South Carolina, USA",34.1954,-79.7626
Lead-acid accumulators,"Exide Technologies, Salina, Kansas, USA",38.8403,-97.6114
Lead-acid accumulators,"East Penn Manufacturing, Lyon Station, Pennsylvania, USA",40.4818,-75.7685
Lead-acid accumulators,"GS Yuasa Corporation, Kyoto, Japan",35.0116,135.768
Lead-acid accumulators,"Amara Raja Batteries Ltd, Tirupati, Andhra Pradesh, India",13.6288,79.4192
"Optical media for recording software, unrecorded","Sony DADC, Terre Haute, Indiana, USA",39.4667,-87.4139
"Optical media for recording software, unrecorded","CMC Magnetics Corporation, Taipei, Taiwan",25.033,121.5654
"Optical media for recording software, unrecorded","Ritek Corporation, Hsinchu, Taiwan",24.8138,120.9675
"Optical media for recording software, unrecorded","Moser Baer India Limited, Greater Noida, India",28.4744,77.503
"Knitted or crocheted fabrics of synthetic fibers, unbleached or bleached","Zhejiang, China",29.1832,120.0934
"Knitted or crocheted fabrics of synthetic fibers, unbleached or bleached","Tiruppur, India",11.1085,77.3411
"Knitted or crocheted fabrics of synthetic fibers, unbleached or bleached","Istanbul, Turkey",41.0082,28.9784
"Knitted or crocheted fabrics of synthetic fibers, unbleached or bleached","Daegu, South Korea",35.8714,128.6014
"Knitted or crocheted fabrics of synthetic fibers, unbleached or bleached","Brescia, Italy",45.5416,10.2118
"Staple fibers of polyesters, not carded or combed","Indorama Ventures Public Company Limited, Rayong, Thailand",12.7148,101.1403
"Staple fibers of polyesters, not carded or combed","Reliance Industries Limited, Hazira, India",21.1167,72.9167
"Staple fibers of polyesters, not carded or combed","Toray Industries, Inc., Kure, Japan",34.2322,132.5661
"Staple fibers of polyesters, not carded or combed","Alpek Polyester, Columbia, South Carolina, USA",34.0007,-81.0348
"Staple fibers of polyesters, not carded or combed","Far Eastern New Century Corporation, Guanyin, Taiwan",25.0327,121.5654
"Sorting, screening, separating or washing machines for earth, stone, ores, or other mineral substances in solid form","Sandvik Mining and Rock Solutions, Tampere, Finland",61.4982,23.761
"Sorting, screening, separating or washing machines for earth, stone, ores, or other mineral substances in solid form","Terex Corporation, Dungannon, Northern Ireland",54.5064,-6.7685
"Sorting, screening, separating or washing machines for earth, stone, ores, or other mineral substances in solid form","Astec Industries, Chattanooga, Tennessee, USA",35.0456,-85.3097
"Sorting, screening, separating or washing machines for earth, stone, ores, or other mineral substances in solid form","Metso Outotec, Mâcon, France",46.3063,4.8286
"Sorting, screening, separating or washing machines for earth, stone, ores, or other mineral substances in solid form","Kleemann GmbH, Göppingen, Germany",48.7052,9.6526
"Bituminous coal, not agglomerated","Powder River Basin, Wyoming, USA",44.3213,-105.5059
"Bituminous coal, not agglomerated","Hunter Valley, New South Wales, Australia",-32.7264,151.5574
"Bituminous coal, not agglomerated","Dhanbad, Jharkhand, India",23.7957,86.4304
"Bituminous coal, not agglomerated","Donetsk Basin (Donbas), Ukraine",48.0159,37.8028
"Bituminous coal, not agglomerated","Kuznetsk Basin (Kuzbass), Russia",54.526,87.2494
"Bulldozers and angledozers, self-propelled","Peoria, Illinois, USA",40.6936,-89.589
"Bulldozers and angledozers, self-propelled","Tokyo, Japan",35.6895,139.6917
"Bulldozers and angledozers, self-propelled","Shanghai, China",31.2304,121.4737
"Bulldozers and angledozers, self-propelled","Turin, Italy",45.0703,7.6869
"Bulldozers and angledozers, self-propelled","Wichita, Kansas, USA",37.6872,-97.3301
"Screws and bolts, of iron or steel","Ludwigshafen, Germany",49.4774,8.4452
"Screws and bolts, of iron or steel","Pune, India",18.5204,73.8567
"Screws and bolts, of iron or steel","Shanghai, China",31.2304,121.4737
"Screws and bolts, of iron or steel","Detroit, Michigan, USA",42.3314,-83.0458
"Screws and bolts, of iron or steel","Nagoya, Japan",35.1815,136.9066
"Parts of vacuum pumps, compressors, fans","Pune, India",18.5204,73.8567
"Parts of vacuum pumps, compressors, fans","Stuttgart, Germany",48.7758,9.1829
"Parts of vacuum pumps, compressors, fans","Shenzhen, China",22.5431,114.0579
"Parts of vacuum pumps, compressors, fans","Detroit, USA",42.3314,-83.0458
"Parts of vacuum pumps, compressors, fans","Nagoya, Japan",35.1815,136.9066
Electrical control and distribution boards,"Schneider Electric, Grenoble, France",45.1885,5.7245
Electrical control and distribution boards,"Siemens AG, Berlin, Germany",52.52,13.405
Electrical control and distribution boards,"ABB Group, Zurich, Switzerland",47.3769,8.5417
Electrical control and distribution boards,"Eaton Corporation, Dublin, Ireland",53.3498,-6.2603
Electrical control and distribution boards,"General Electric, Boston, USA",42.3601,-71.0589
Photographic film for x-ray,"Rochester, New York, USA",43.1566,-77.6088
Photographic film for x-ray,"Tokyo, Japan",35.6895,139.6917
Photographic film for x-ray,"Shanghai, China",31.2304,121.4737
"Parts of electrical transformers, static converters","Schneider Electric, Grenoble, France",45.188529,5.724524
"Parts of electrical transformers, static converters","ABB, Ludvika, Sweden",60.1494,15.1875
"Parts of electrical transformers, static converters","Siemens, Nuremberg, Germany",49.4521,11.0767
"Parts of electrical transformers, static converters","General Electric, Charlotte, North Carolina, USA",35.2271,-80.8431
"Parts of electrical transformers, static converters","Mitsubishi Electric, Nagoya, Japan",35.1815,136.9066
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","Prysmian Group, Milan, Italy",45.4642,9.19
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","Nexans, Lyon, France",45.764,4.8357
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","Southwire Company, Carrollton, Georgia, USA",33.5801,-85.0766
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","Fujikura Ltd., Tokyo, Japan",35.6895,139.6917
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","Sumitomo Electric Industries, Osaka, Japan",34.6937,135.5023
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","Leoni AG, Nuremberg, Germany",49.4521,11.0767
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","LS Cable & System, Anyang, South Korea",37.3925,126.926
"Insulated wire, cable, and other electric conductors, for a voltage not exceeding 1,000 V","General Cable, Highland Heights, Kentucky, USA",39.0334,-84.4524
"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, pressure, or other variables of liquids or gases","Honeywell International Inc, Freeport, Illinois, USA",42.2964,-89.6212
"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, pressure, or other variables of liquids or gases","Emerson Electric Co, Eden Prairie, Minnesota, USA",44.8547,-93.4708
"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, pressure, or other variables of liquids or gases","Siemens AG, Karlsruhe, Germany",49.0069,8.4037
"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, pressure, or other variables of liquids or gases","Endress+Hauser, Reinach, Switzerland",47.4897,7.5953
"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, pressure, or other variables of liquids or gases","Yokogawa Electric Corporation, Tokyo, Japan",35.6895,139.6917
"Taps, cocks, valves and similar appliances","Houston, Texas, USA",29.7604,-95.3698
"Taps, cocks, valves and similar appliances","Düsseldorf, Germany",51.2277,6.7735
"Taps, cocks, valves and similar appliances","Shenzhen, Guangdong, China",22.5431,114.0579
"Taps, cocks, valves and similar appliances","Pune, Maharashtra, India",18.5204,73.8567
"Taps, cocks, valves and similar appliances","Osaka, Japan",34.6937,135.5023
Static converters; power supplies,"Shenzhen, Guangdong, China",22.543096,114.057865
Static converters; power supplies,"Munich, Bavaria, Germany",48.135125,11.581981
Static converters; power supplies,"Tokyo, Japan",35.689487,139.691711
Static converters; power supplies,"San Jose, California, USA",37.338208,-121.886329
Static converters; power supplies,"Bangalore, Karnataka, India",12.971599,77.594566
"Bridges and bridge-sections, of iron or steel","Pittsburgh, Pennsylvania, USA",40.4406,-79.9959
"Bridges and bridge-sections, of iron or steel","Gary, Indiana, USA",41.5934,-87.3464
"Bridges and bridge-sections, of iron or steel","Hamilton, Ontario, Canada",43.2557,-79.8711
"Bridges and bridge-sections, of iron or steel","Essen, North Rhine-Westphalia, Germany",51.4556,7.0116
"Bridges and bridge-sections, of iron or steel","Jamshedpur, Jharkhand, India",22.8046,86.2029
Optical media for the recording of sound or of other phenomena,"Shinagawa, Tokyo, Japan",35.6097,139.7282
Optical media for the recording of sound or of other phenomena,"Suwon, Gyeonggi Province, South Korea",37.2636,127.0286
Optical media for the recording of sound or of other phenomena,"Guangdong, China",23.379,113.7633
Optical media for the recording of sound or of other phenomena,"Bangalore, Karnataka, India",12.9716,77.5946
"Polymers of styrene, in primary forms, other","St. James, Louisiana, USA",30.0239,-90.8422
"Polymers of styrene, in primary forms, other","Burghausen, Germany",48.1691,12.8318
"Polymers of styrene, in primary forms, other","Antwerp, Belgium",51.2602,4.4028
"Polymers of styrene, in primary forms, other","Map Ta Phut, Thailand",12.6956,101.1539
"Polymers of styrene, in primary forms, other","Dahej, Gujarat, India",21.7058,72.6078
"Stainless steel bars and rods, hot-rolled, in irregularly wound coils","Tata Steel, Jamshedpur, India",22.8056,86.2031
"Stainless steel bars and rods, hot-rolled, in irregularly wound coils","Outokumpu, Sheffield, United Kingdom",53.3831,-1.4648
"Stainless steel bars and rods, hot-rolled, in irregularly wound coils","Acerinox, Los Barrios, Spain",36.1879,-5.4939
"Stainless steel bars and rods, hot-rolled, in irregularly wound coils","Nippon Steel, Kimitsu, Japan",35.3251,139.9282
"Stainless steel bars and rods, hot-rolled, in irregularly wound coils","Aperam, Genk, Belgium",50.9661,5.4663
"Stainless steel flat-rolled products, width >600mm, cold-rolled","Outokumpu Stainless AB, Avesta, Sweden",60.1435,16.1717
"Stainless steel flat-rolled products, width >600mm, cold-rolled","Aperam Stainless Europe, Genk, Belgium",50.9653,5.5058
"Stainless steel flat-rolled products, width >600mm, cold-rolled","Jindal Stainless (Hisar) Limited, Hisar, India",29.1492,75.7217
"Stainless steel flat-rolled products, width >600mm, cold-rolled","POSCO, Pohang, South Korea",36.019,129.3435
"Stainless steel flat-rolled products, width >600mm, cold-rolled","Nippon Steel Corporation, Yawata Works, Kitakyushu, Japan",33.8894,130.805
"Stainless steel tubes and pipes, cold-drawn or cold-rolled","Sandviken, Sweden",60.6167,16.7667
"Stainless steel tubes and pipes, cold-drawn or cold-rolled","Pittsburgh, Pennsylvania, USA",40.4406,-79.9959
"Stainless steel tubes and pipes, cold-drawn or cold-rolled","Mumbai, India",19.076,72.8777
"Stainless steel tubes and pipes, cold-drawn or cold-rolled","Shanghai, China",31.2304,121.4737
"Stainless steel tubes and pipes, cold-drawn or cold-rolled","Stuttgart, Germany",48.7758,9.1829
Polyethylene with specific gravity < 0.94,"Freeport, Texas, USA",28.9402,-95.3537
Polyethylene with specific gravity < 0.94,"Antwerp, Belgium",51.2194,4.4025
Polyethylene with specific gravity < 0.94,"Sarnia, Ontario, Canada",42.9745,-82.4066
Polyethylene with specific gravity < 0.94,"Al-Jubail, Saudi Arabia",27.0184,49.6226
Polyethylene with specific gravity < 0.94,"Olefins and Polyolefins Production Complex, Singapore",1.3521,103.8198
Polyethylene,"ExxonMobil Chemical, Baytown, Texas, USA",29.7752,-95.0194
Polyethylene,"Dow Chemical, Freeport, Texas, USA",28.965,-95.356
Polyethylene,"LyondellBasell, La Porte, Texas, USA",29.6658,-95.0194
Polyethylene,"SABIC, Al Jubail, Saudi Arabia",27.0083,49.6636
Polyethylene,"INEOS, Grangemouth, Scotland, UK",56.0238,-3.7529
Polyvinyl Chloride (PVC),"Lake Charles, Louisiana, USA - Occidental Chemical Corporation",30.2266,-93.2174
Polyvinyl Chloride (PVC),"Freeport, Texas, USA - Shintech Inc.",28.9595,-95.356
Polyvinyl Chloride (PVC),"Runcorn, Cheshire, UK - INEOS ChlorVinyls",53.3308,-2.7071
Polyvinyl Chloride (PVC),"Oulu, Finland - Kemira Chemicals Oy",65.0124,25.4682
Polyvinyl Chloride (PVC),"Chiba, Japan - Shin-Etsu Chemical Co., Ltd.",35.6074,140.1065
Polyvinyl Chloride (PVC),"Jamnagar, Gujarat, India - Reliance Industries Limited",22.3088,69.6293
Polyvinyl Chloride (PVC),"Tianjin, China - Tianjin Dagu Chemical Co., Ltd.",39.3434,117.3616
Optical media for reproduction of computer software,"Sony DADC, Terre Haute, Indiana, USA",39.4667,-87.4139
Optical media for reproduction of computer software,"Technicolor, Guadalajara, Mexico",20.6597,-103.3496
Optical media for reproduction of computer software,"MPO International, Averton, France",48.1305,0.7072
Optical media for reproduction of computer software,"Cinram, Olyphant, Pennsylvania, USA",41.4695,-75.5938
