Main Product Name,HS Code,Input Product,Industry,NAICS Code,Percentage Cost
"Machines for the Reception, Conversion and Transmission of Voice, Images or Other Data",854239,"Electronic integrated circuits, n.e.s.",Semiconductor and Other Electronic Component Manufacturing,334413,20.0
"Machines for the Reception, Conversion and Transmission of Voice, Images or Other Data",850440,Static converters,Electrical Equipment Manufacturing,335999,10.0
"Machines for the Reception, Conversion and Transmission of Voice, Images or Other Data",847330,Parts and accessories of the machines of heading 8471,Computer and Peripheral Equipment Manufacturing,334111,12.0
"Processors and Controllers, Integrated Circuits",854232,"Integrated circuits, processors and controllers",Semiconductor and Other Electronic Component Manufacturing,334413,30.5
"Processors and Controllers, Integrated Circuits",848620,Machines and apparatus for the manufacture of semiconductor devices or electronic integrated circuits,Industrial Machinery Manufacturing,333242,15.0
"Processors and Controllers, Integrated Circuits",381800,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms",Basic Chemical Manufacturing,325180,10.0
"Processors and Controllers, Integrated Circuits",854233,"Integrated circuits, amplifiers",Semiconductor and Other Electronic Component Manufacturing,334413,5.0
Processing Units Other than Those of Subheading 8471.41 or 8471.49,8542.31,Electronic Integrated Circuits: Processors and Controllers,Semiconductor and Other Electronic Component Manufacturing,334413,35.0
Processing Units Other than Those of Subheading 8471.41 or 8471.49,8541.29,"Transistors, Other Than Photosensitive Transistors",Semiconductor and Other Electronic Component Manufacturing,334413,10.0
Processing Units Other than Those of Subheading 8471.41 or 8471.49,8504.40,"Static Converters (For Example, Rectifiers)",Electrical Equipment Manufacturing,335999,8.0
Processing Units Other than Those of Subheading 8471.41 or 8471.49,8534.00,Printed Circuits,Semiconductor and Other Electronic Component Manufacturing,334412,12.0
Processing Units Other than Those of Subheading 8471.41 or 8471.49,8543.70,"Electrical Machines and Apparatus, Having Individual Functions",Electrical Equipment Manufacturing,335999,5.0
Electronic Integrated Circuits as Processors and Controllers,854232,"Electronic Integrated Circuits, Processors and Controllers",Semiconductor and Other Electronic Component Manufacturing,334413,30.0
Electronic Integrated Circuits as Processors and Controllers,854121,"Transistors, Other Than Photosensitive Transistors",Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Electronic Integrated Circuits as Processors and Controllers,853400,Printed Circuits,Semiconductor and Other Electronic Component Manufacturing,334412,10.0
Electronic Integrated Circuits as Processors and Controllers,381800,Chemical Elements Doped for Use in Electronics,Basic Chemical Manufacturing,325180,5.0
Electronic Integrated Circuits as Processors and Controllers,903082,Instruments for Measuring or Checking Semiconductor Wafers,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334515,2.0
Parts and Accessories of Machines of Heading 8471,8536.90,Electrical Apparatus for Switching or Protecting Electrical Circuits,Electrical Equipment Manufacturing,335313,15.0
Parts and Accessories of Machines of Heading 8471,8504.40,Static Converters,Electrical Equipment Manufacturing,335999,10.0
Parts and Accessories of Machines of Heading 8471,8473.30,Parts and Accessories for Machines of Heading 8471,Computer and Peripheral Equipment Manufacturing,334111,25.0
Parts and Accessories of Machines of Heading 8471,8542.31,Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,20.0
Parts and Accessories of Machines of Heading 8471,3926.90,Other Articles of Plastics,Plastics Product Manufacturing,326199,5.0
Cameras and camcorders,854239,Electronic integrated circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Cameras and camcorders,900190,"Lenses, prisms, mirrors and other optical elements",Optical Instrument and Lens Manufacturing,333314,15.0
Cameras and camcorders,850440,Static converters,Electrical Equipment Manufacturing,335999,10.0
Cameras and camcorders,854420,Coaxial cable and other coaxial electric conductors,Wire and Cable Manufacturing,335929,8.0
Cameras and camcorders,392690,Articles of plastics,Plastics Product Manufacturing,326199,5.0
Optical Media for Software,852341,Discs for laser reading systems,Magnetic and Optical Recording Media Manufacturing,334613,40.0
Optical Media for Software,392690,Articles of plastics,Plastics Product Manufacturing,326199,20.0
Optical Media for Software,853400,Printed circuits,Semiconductor and Other Electronic Component Manufacturing,334412,10.0
Telecommunications equipment,854231,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Telecommunications equipment,850440,"Static converters (e.g., rectifiers)",Electrical Equipment Manufacturing,335999,10.0
Telecommunications equipment,853690,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits",Electrical Equipment Manufacturing,335931,8.0
Telecommunications equipment,850450,Inductors,Electronic Component Manufacturing,334416,5.0
Telecommunications equipment,900190,"Optical elements, unmounted",Optical Instrument and Lens Manufacturing,333314,12.0
"Portable automatic data processing machines (e.g., laptops, tablets)",847330,Parts and accessories of the machines of heading 8471,Computer and Peripheral Equipment Manufacturing,334118,20.0
"Portable automatic data processing machines (e.g., laptops, tablets)",854231,Electronic integrated circuits: processors and controllers,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Portable automatic data processing machines (e.g., laptops, tablets)",850440,"Static converters (e.g., power supplies, adapters)",Electrical Equipment Manufacturing,335999,10.0
"Portable automatic data processing machines (e.g., laptops, tablets)",847170,Storage units,Computer and Peripheral Equipment Manufacturing,334112,15.0
"Portable automatic data processing machines (e.g., laptops, tablets)",850450,Inductors,Electrical Equipment Manufacturing,335999,5.0
"Portable automatic data processing machines (e.g., laptops, tablets)",852351,"Optical media for the recording of sound or other phenomena, unrecorded",Magnetic and Optical Recording Media Manufacturing,334613,2.0
"Portable automatic data processing machines (e.g., laptops, tablets)",850490,"Parts of transformers, static converters, and inductors",Electrical Equipment Manufacturing,335999,3.0
"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",854231,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",850440,Static converters,Electrical Equipment Manufacturing,335999,10.0
"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",853400,Printed circuits,Printed Circuit Assembly (Electronic Assembly) Manufacturing,334418,15.0
"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",854239,"Electronic integrated circuits, n.e.s.",Semiconductor and Other Electronic Component Manufacturing,334413,20.0
"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",392690,"Articles of plastics and articles of other materials of headings 39.01 to 39.14, n.e.s.",Plastics Product Manufacturing,326199,5.0
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",854239,Electronic integrated circuits and microassemblies; parts of heading no. 8542,Semiconductor and Other Electronic Component Manufacturing,334413,15.0
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",852990,Parts suitable for use solely or principally with the apparatus of headings 8525 to 8528,Communications Equipment Manufacturing,334220,20.0
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",854442,"Insulated electric conductors; for a voltage not exceeding 1000 volts, fitted with connectors",Electrical Equipment Manufacturing,335931,5.0
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",850440,Static converters,"Power, Distribution, and Specialty Transformer Manufacturing",335311,10.0
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",854370,"Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter",Other Electrical Equipment and Component Manufacturing,335999,8.0
Telephones for cellular networks or for other wireless networks,854239,Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Telephones for cellular networks or for other wireless networks,850440,Power Supply Units,Electrical Equipment Manufacturing,335999,10.0
Telephones for cellular networks or for other wireless networks,851770,Parts for Telephones,Communications Equipment Manufacturing,334210,15.0
Telephones for cellular networks or for other wireless networks,854233,Microprocessors and Controllers,Semiconductor and Other Electronic Component Manufacturing,334413,20.0
Telephones for cellular networks or for other wireless networks,847330,Parts and Accessories of Computers,Computer and Peripheral Equipment Manufacturing,334111,5.0
"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",854231,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",Semiconductor and Related Device Manufacturing,334413,20.0
"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",847330,Parts and accessories suitable for use solely or principally with machines of heading 8471,Computer Peripheral Equipment Manufacturing,334118,15.0
"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",850440,Static converters; power supplies for automatic data processing machines or units thereof,Electrical Equipment Manufacturing,335999,10.0
"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",852852,"Monitors, not incorporating television reception apparatus, of a kind solely or principally used in an automatic data processing system of heading 8471",Computer and Peripheral Equipment Manufacturing,334111,15.0
"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",852351,"Optical media for the recording of sound or other phenomena, unrecorded",Software Reproducing,334614,5.0
"Television cameras, digital cameras and video camera recorders",854239,Electronic integrated circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Television cameras, digital cameras and video camera recorders",900150,Spectacle lenses of other materials,Ophthalmic Goods Manufacturing,339115,15.0
"Television cameras, digital cameras and video camera recorders",854442,Insulated electric conductors,Wiring Device Manufacturing,335931,10.0
"Television cameras, digital cameras and video camera recorders",852990,Parts suitable for use with the apparatus of headings 85.25 to 85.28,Electronic Component and Board Manufacturing,334220,20.0
Optical Media for Software,852321,Cards incorporating a magnetic stripe,Magnetic and Optical Media Manufacturing,334613,30.0
Optical Media for Software,392690,Other articles of plastics,Plastics Product Manufacturing,326199,20.0
Optical Media for Software,852341,Optical media for recording sound or other phenomena,Magnetic and Optical Media Manufacturing,334613,25.0
Video game consoles and machines,854239,Electronic integrated circuits,Semiconductor and Other Electronic Component Manufacturing,334413,20.5
Video game consoles and machines,847330,Parts and accessories of automatic data processing machines,Computer and Peripheral Equipment Manufacturing,334111,15.0
Video game consoles and machines,852990,Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28,Audio and Video Equipment Manufacturing,334310,10.0
Video game consoles and machines,392690,Articles of plastics and articles of other materials of headings 39.01 to 39.14,Plastics Product Manufacturing,326199,8.0
Video game consoles and machines,850440,"Static converters (for example, rectifiers)",Electrical Equipment Manufacturing,335999,7.5
"Railway or tramway goods vans and wagons, not self-propelled",730890,"Structures and parts of structures, of iron or steel, n.e.s.",Fabricated Metal Product Manufacturing,3323,20.0
"Railway or tramway goods vans and wagons, not self-propelled",860799,"Parts of railway or tramway locomotives or rolling-stock, n.e.s.",Transportation Equipment Manufacturing,3365,15.0
"Railway or tramway goods vans and wagons, not self-propelled",722830,"Bars and rods, of alloy steel other than stainless",Primary Metal Manufacturing,3311,10.0
"Railway or tramway goods vans and wagons, not self-propelled",732690,"Articles of iron or steel, n.e.s.",Fabricated Metal Product Manufacturing,3329,8.0
"Railway or tramway goods vans and wagons, not self-propelled",730630,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel",Primary Metal Manufacturing,3312,12.0
Rail locomotives powered by diesel or electric,850300,Parts suitable for use solely or principally with electric motors and generators,Electrical Equipment Manufacturing,3353,25.0
Rail locomotives powered by diesel or electric,731815,"Threaded screws and bolts, of iron or steel",Hardware Manufacturing,3327,10.0
Rail locomotives powered by diesel or electric,860799,Parts of railway locomotives or rolling stock,Railroad Rolling Stock Manufacturing,3365,30.0
Rail locomotives powered by diesel or electric,840999,Parts suitable for use solely or principally with the engines of heading 8409,"Engine, Turbine, and Power Transmission Equipment Manufacturing",3336,15.0
Rail locomotives powered by diesel or electric,730890,"Structures and parts of structures, of iron or steel",Metal Fabrication,3323,5.0
Sporting and athletic goods,400821,"Plates, sheets and strip of vulcanized rubber other than hard rubber, of cellular rubber",Rubber Product Manufacturing,326299,15.3
Sporting and athletic goods,590310,"Textile fabrics, impregnated, coated, covered or laminated with polyvinyl chloride",Textile Product Mills,313320,12.1
Sporting and athletic goods,392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, nes",Plastics Product Manufacturing,326199,9.8
Sporting and athletic goods,630790,"Made-up articles of textile materials, nes",Textile Product Mills,314999,8.5
Sporting and athletic goods,721070,"Flat-rolled products of iron or non-alloy steel, painted, varnished or coated with plastics",Iron and Steel Mills and Ferroalloy Manufacturing,331110,7.4
Parts and accessories for musical instruments,920992,Parts and accessories for musical instruments,Manufacturing,339992,30.0
Parts and accessories for musical instruments,440710,Wood sawn or chipped lengthwise,Lumber and Wood Product Manufacturing,321113,20.0
Parts and accessories for musical instruments,392690,Articles of plastics,Plastics Product Manufacturing,326199,10.0
Parts and accessories for musical instruments,830400,Office supplies of base metal,Metalworking,332999,5.0
Parts and accessories for musical instruments,854390,Parts of electrical machines,Electrical Equipment Manufacturing,335999,8.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 800 cc,870810,Bumpers and parts thereof,Motor Vehicle Parts Manufacturing,336390,3.5
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 800 cc,851130,Distributors and ignition coils,Motor Vehicle Electrical and Electronic Equipment Manufacturing,336320,2.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 800 cc,840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston engines,"Engine, Turbine, and Power Transmission Equipment Manufacturing",333618,10.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 800 cc,848310,Transmission shafts and cranks,Ball and Roller Bearing Manufacturing,332991,4.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 800 cc,401140,"New pneumatic tires, of rubber, of a kind used on motorcycles",Tire Manufacturing,326211,5.0
Optical Media for Software,852341,"Optical media for recording sound or other phenomena, of a kind used for reproducing phenomena other than sound or image",Magnetic and Optical Recording Media Manufacturing,334613,15.0
Optical Media for Software,390110,Polyethylene with a specific gravity of less than 0.94,Plastics Material and Resin Manufacturing,325211,2.5
Optical Media for Software,392690,Other articles of plastics and articles of other materials of headings 3901 to 3914,All Other Plastics Product Manufacturing,326199,3.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,871410,Motorcycle parts and accessories,Transportation Equipment Manufacturing,336991,25.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,840733,Internal combustion piston engines for motorcycles,"Engine, Turbine, and Power Transmission Equipment Manufacturing",333618,30.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,870893,Clutches and parts thereof for motorcycles,Motor Vehicle Parts Manufacturing,336340,10.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,401120,"New pneumatic tires, of rubber, of a kind used on motorcycles",Rubber Product Manufacturing,326211,5.0
Motorcycles with reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,850710,Lead-acid accumulators of a kind used for starting piston engines,Battery Manufacturing,335911,3.0
Optical Media for Software,852341,"Optical media for recording software, unrecorded",Magnetic and Optical Media Manufacturing,334613,40.0
Optical Media for Software,392690,"Plastics and articles thereof, other",Plastics Product Manufacturing,326199,15.0
Optical Media for Software,850490,"Parts of electrical transformers, static converters and inductors",Electrical Equipment Manufacturing,335999,5.0
Parts and accessories of motorcycles (including mopeds),870899,Parts and accessories of motor vehicles,Motor Vehicle Parts Manufacturing,336390,25.0
Parts and accessories of motorcycles (including mopeds),401120,"New pneumatic tires, of rubber",Rubber Product Manufacturing,326211,15.0
Parts and accessories of motorcycles (including mopeds),851130,Distributors and ignition coils,Electrical Equipment Manufacturing,335312,10.0
Parts and accessories of motorcycles (including mopeds),731815,Threaded screws and bolts,Hardware Manufacturing,332722,8.0
Parts and accessories of motorcycles (including mopeds),850710,Lead-acid accumulators for starting piston engines,Battery Manufacturing,335911,12.0
"Machines for the reception, conversion, and transmission of voice, images or other data, including switching and routing apparatus",854231,Electronic integrated circuits,Semiconductor and Related Device Manufacturing,334413,25.0
"Machines for the reception, conversion, and transmission of voice, images or other data, including switching and routing apparatus",850440,"Static converters (for example, rectifiers)",Electrical Equipment Manufacturing,335999,10.0
"Machines for the reception, conversion, and transmission of voice, images or other data, including switching and routing apparatus",853400,Printed circuits,Bare Printed Circuit Board Manufacturing,334412,15.0
Optical Media for Software,852341,Optical media for reproducing software,Software Reproducing,334614,40.0
Optical Media for Software,392690,Articles of plastics,Plastics Product Manufacturing,326199,10.0
Optical Media for Software,850710,Lead-acid electric accumulators,Battery Manufacturing,335911,5.0
"Bread, pastry, cakes, biscuits and other bakers' wares",110100,Wheat flour,Flour Milling,311211,30.0
"Bread, pastry, cakes, biscuits and other bakers' wares",040510,Butter,Dairy Product Manufacturing,311511,15.0
"Bread, pastry, cakes, biscuits and other bakers' wares",170199,Cane or beet sugar,Sugar Manufacturing,31131,10.0
"Bread, pastry, cakes, biscuits and other bakers' wares",040221,"Milk in powder, granules or other solid forms",Dairy Product Manufacturing,311511,5.0
"Bread, pastry, cakes, biscuits and other bakers' wares",110710,Malt,Malt Manufacturing,311213,5.0
Optical Media for Software,852341,Discs for laser reading systems for reproducing phenomena other than sound or image,Magnetic and Optical Recording Media Manufacturing,334613,40.0
Optical Media for Software,392690,Plastics and articles thereof,Plastics Product Manufacturing,326199,10.0
Optical Media for Software,850490,Parts suitable for use solely or principally with the machines of heading 8501 or 8502,Electrical Equipment Manufacturing,335999,5.0
Crispbread,100190,Wheat,Grain Farming,111150,30.0
Crispbread,150710,Soybean Oil,Vegetable Oil Manufacturing,311224,10.0
Crispbread,110100,Wheat Flour,Flour Milling,311211,20.0
Crispbread,210690,Baking Powder,Spice and Extract Manufacturing,311942,5.0
Crispbread,170199,Sugar,Sugar Manufacturing,311314,5.0
Wound Care Products,300590,Wound Dressings,Pharmaceutical and Medicine Manufacturing,325412,30.0
Wound Care Products,560311,Nonwoven Fabric,Textile Product Mills,314999,20.0
Wound Care Products,391990,Plastic Adhesive Tape,Plastics Product Manufacturing,326199,15.0
Land Development Services,903180,Surveying Instruments,Manufacturing,334519,15.0
Land Development Services,731100,Containers for Compressed or Liquefied Gas,Manufacturing,332420,8.0
Land Development Services,847989,Machinery for Soil Preparation or Cultivation,"Agriculture, Construction, and Mining Machinery Manufacturing",333111,12.0
Land Development Services,392690,Plastic Articles for Construction,Plastics Product Manufacturing,326199,5.0
Land Development Services,730890,"Structures and Parts of Structures, of Iron or Steel",Fabricated Metal Product Manufacturing,332312,10.0
Residential Lot Development,251710,Crushed Stone,Stone Mining and Quarrying,212319,15.0
Residential Lot Development,440710,Lumber,Sawmills and Wood Preservation,321113,20.0
Residential Lot Development,730890,Iron and Steel Structures,Fabricated Structural Metal Manufacturing,332312,10.0
Residential Lot Development,271320,Bitumen,Petroleum and Coal Products Manufacturing,324121,5.0
Residential Lot Development,681011,Cement,Cement Manufacturing,327310,8.0
Medicaments containing other antibiotics,294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,Pharmaceutical Manufacturing,325412,20.0
Medicaments containing other antibiotics,294130,Tetracyclines and their derivatives; salts thereof,Pharmaceutical Manufacturing,325412,15.0
Medicaments containing other antibiotics,294150,Erythromycin and its derivatives; salts thereof,Pharmaceutical Manufacturing,325412,10.0
Optical Media for Software,852341,Discs for laser reading systems for reproducing phenomena other than sound or image,Computer and Electronic Product Manufacturing,334613,25.0
Optical Media for Software,390740,"Polycarbonates, in primary forms",Plastics Material and Resin Manufacturing,325211,30.0
Optical Media for Software,392690,Other articles of plastics and articles of other materials of headings 3901 to 3914,Plastics Product Manufacturing,326199,10.0
Medicaments containing hormones or other products of heading 2937,293711,Somatotropin and its derivatives,Pharmaceutical and Medicine Manufacturing,325412,15.2
Medicaments containing hormones or other products of heading 2937,293712,Insulin and its salts,Pharmaceutical and Medicine Manufacturing,325412,18.5
Medicaments containing hormones or other products of heading 2937,293722,Steroidal hormones,Pharmaceutical and Medicine Manufacturing,325412,20.3
Optical Media for Software,392690,Plastic components for optical media,Plastics Product Manufacturing,326199,25.0
Optical Media for Software,852390,"Optical media, unrecorded",Computer and Electronic Product Manufacturing,334613,35.0
Optical Media for Software,850440,Power supplies for data processing equipment,Electrical Equipment Manufacturing,335999,10.0
"Articles of cement, concrete or artificial stone, whether or not reinforced",252310,Cement clinkers,Cement Manufacturing,327310,30.0
"Articles of cement, concrete or artificial stone, whether or not reinforced",252329,"Portland cement, other than white, whether or not artificially colored",Cement Manufacturing,327310,25.0
"Articles of cement, concrete or artificial stone, whether or not reinforced",250510,Silica sands and quartz sands,Sand and Gravel Mining,212321,15.0
"Articles of cement, concrete or artificial stone, whether or not reinforced",281820,"Aluminum oxide (including artificial corundum), whether or not chemically defined",Alumina Refining,331311,10.0
Optical Media for Software,392690,"Articles of plastics and articles of other materials of headings 3901 to 3914, n.e.s.",Plastics Product Manufacturing,326199,20.0
Optical Media for Software,852340,"Optical media for the recording of sound or of other phenomena, unrecorded",Magnetic and Optical Recording Media Manufacturing,334613,50.0
Optical Media for Software,390110,Polyethylene with a specific gravity of less than 0.94,Plastics Material and Resin Manufacturing,325211,10.0
Sauces and preparations therefor,120190,"Soya beans, whether or not broken",Crop Production,111150,20.5
Sauces and preparations therefor,100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",Grain and Oilseed Milling,311212,15.3
Sauces and preparations therefor,070200,"Tomatoes, fresh or chilled",Vegetable and Melon Farming,111219,12.7
Sauces and preparations therefor,151620,Vegetable fats and oils and their fractions,Fats and Oil Refining and Blending,311225,18.9
Optical Media for Software,392690,Other articles of plastics and articles of other materials,Plastics Product Manufacturing,326199,25.4
Optical Media for Software,852341,Optical media for the recording of sound or of other phenomena,Computer and Peripheral Equipment Manufacturing,334112,30.2
Optical Media for Software,390210,Polypropylene,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325211,22.6
"Sausages and similar products of meat, meat offal or blood",020319,"Meat of swine, fresh or chilled",Meat Processing,311611,30.0
"Sausages and similar products of meat, meat offal or blood",020629,"Edible offal of bovine animals, frozen",Meat Processing,311612,20.0
"Sausages and similar products of meat, meat offal or blood",020714,"Meat and edible offal of fowls of the species Gallus domesticus, frozen",Poultry Processing,311615,15.0
"Sausages and similar products of meat, meat offal or blood",150100,"Pig fat (including lard) and poultry fat, rendered or otherwise extracted",Animal Fat Processing,311613,10.0
"Sausages and similar products of meat, meat offal or blood",040221,"Milk and cream, not concentrated nor containing added sugar or other sweetening, of a fat content, by weight, exceeding 1% but not exceeding 6%",Dairy Product Manufacturing,311511,5.0
"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",854449,"Insulated electric conductors, for a voltage not exceeding 1,000 V","Electrical Equipment, Appliance, and Component Manufacturing",3359,20.0
"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537","Electrical Equipment, Appliance, and Component Manufacturing",3359,30.0
"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",732690,Other articles of iron or steel,Fabricated Metal Product Manufacturing,3329,15.0
"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",390110,Polyethylene with a specific gravity less than 0.94,Plastics Product Manufacturing,3261,10.0
"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",850490,"Parts of transformers, static converters and inductors","Electrical Equipment, Appliance, and Component Manufacturing",3353,25.0
Network Communication Devices,854231,"Processors and Controllers, Integrated Circuits",Semiconductor and Other Electronic Component Manufacturing,334413,25.0
